record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
65732b388a8a11e4-table2-R4,2026-06-22,busan-buk,,맘스터치화명롯데점,북구 청년주간기획단 회의 관련 간담회 비용,87500,65732b388a8a11e4a4f6c7c38e2cfbf2e93dca5451a05ba0aea12e1475a20750,table2:R4,,,
65732b388a8a11e4-table3-R4,2026-05-21,busan-buk,,쿠팡(주),부서 운영물품 구입(다과 등),148070,65732b388a8a11e4a4f6c7c38e2cfbf2e93dca5451a05ba0aea12e1475a20750,table3:R4,,,
65732b388a8a11e4-table3-R5,2026-06-02,busan-buk,,쿠팡(주),부서 운영물품 구입(다과 등),35210,65732b388a8a11e4a4f6c7c38e2cfbf2e93dca5451a05ba0aea12e1475a20750,table3:R5,,,
65732b388a8a11e4-table3-R6,2026-06-24,busan-buk,,쿠팡(주),부서 운영물품 구입(다과 등),125490,65732b388a8a11e4a4f6c7c38e2cfbf2e93dca5451a05ba0aea12e1475a20750,table3:R6,,,
1c8fa8d59c1ee5fc-table2-R4,2026-06-15,busan-buk,,쿠팡(주),부서운영물품(다과) 구입,277470,1c8fa8d59c1ee5fc1e586a2d4534478b10c1330c2f52763a927a6a2f0026e52d,table2:R4,,,
1c8fa8d59c1ee5fc-table3-R4,2026-06-05,busan-buk,,몽고아구찜,제9회 전국동시지방선거 추진 관련 동직원 노고격려 간담회 비용 지급,240000,1c8fa8d59c1ee5fc1e586a2d4534478b10c1330c2f52763a927a6a2f0026e52d,table3:R4,,,
1c8fa8d59c1ee5fc-table3-R5,2026-06-19,busan-buk,,진스시,2026년 상반기 통장임명심사위원회 간담회 비용 지급,160000,1c8fa8d59c1ee5fc1e586a2d4534478b10c1330c2f52763a927a6a2f0026e52d,table3:R5,,,
1c8fa8d59c1ee5fc-table3-R6,2026-06-23,busan-buk,,농축산마트(주),자율방역단격려품 구입,23800,1c8fa8d59c1ee5fc1e586a2d4534478b10c1330c2f52763a927a6a2f0026e52d,table3:R6,,,
1c8fa8d59c1ee5fc-table3-R7,2026-06-25,busan-buk,,쿠팡(주),2026년 주민자치 우수사례 벤치마킹 지원 다과 및 음료 구입,212500,1c8fa8d59c1ee5fc1e586a2d4534478b10c1330c2f52763a927a6a2f0026e52d,table3:R7,,,
fef54fc171f467c5-table2-R4,2026-06-10,busan-buk,,구룡성,경로당 현안업무 등 논의를 위한 간담회 비용 지출,180000,fef54fc171f467c55df6309dca8076b820897de954f3bdedee4f5b9eab684e12,table2:R4,,,
fef54fc171f467c5-table2-R5,2026-06-12,busan-buk,,곰보식당,2026년 양성평등 관련 사업 운영 추진 간담회 비용 지출,255000,fef54fc171f467c55df6309dca8076b820897de954f3bdedee4f5b9eab684e12,table2:R5,,,
f76e0fa87dc766bc-table2-R3,2026-06-24,busan-buk,,탑마트 구포점,2026년 6월 부서 다과 구입(음료 등),200780,f76e0fa87dc766bc250b55f15680bffcf41f06f860444aead357b551d2650562,table2:R3,,,
f76e0fa87dc766bc-table2-R4,2026-06-25,busan-buk,,미소떡방앗간,2026년 6월 부서 다과 구입(떡),50000,f76e0fa87dc766bc250b55f15680bffcf41f06f860444aead357b551d2650562,table2:R4,,,
9e3b205b8b749873-table1-R4,2026-06-16,busan-buk,,지음제과,2026년 주거지주차장 민간위탁 관리자 추천심의위원회 노고 격려,72500,9e3b205b8b749873b833408cbd8f577f48e46bb827192b4b20ee009a5780d205,table1:R4,,,
9e3b205b8b749873-table3-R4,2026-06-30,busan-buk,,쿠팡(주),부서 운영물품 구입(다과),223900,9e3b205b8b749873b833408cbd8f577f48e46bb827192b4b20ee009a5780d205,table3:R4,,,
2c3d7d1b6488586f-table2-R4,2026-06-04,busan-buk,,-,직원 경조사비,50000,2c3d7d1b6488586f899a29835969147e78f35c8c739ffdbec3d9950cb1b00251,table2:R4,,,
2c3d7d1b6488586f-table2-R5,2026-06-11,busan-buk,,금천회마을,통장 공개모집 심사위원회 간담회비,180000,2c3d7d1b6488586f899a29835969147e78f35c8c739ffdbec3d9950cb1b00251,table2:R5,,,
2c3d7d1b6488586f-table2-R6,2026-06-16,busan-buk,,호호감자탕,복지사각지대발굴 및 지원체계 구축 관련 간담회비,270000,2c3d7d1b6488586f899a29835969147e78f35c8c739ffdbec3d9950cb1b00251,table2:R6,,,
2c3d7d1b6488586f-table2-R7,2026-06-18,busan-buk,,-,직원 경조사비,50000,2c3d7d1b6488586f899a29835969147e78f35c8c739ffdbec3d9950cb1b00251,table2:R7,,,
96d4ec4cb1210662-table2-R4,2026-06-10,busan-buk,,"하이든,파우제",문화교육국 업무보고 추진 관련 오찬 간담회,135600,96d4ec4cb121066249bd2f3a61e3e2d292d2a0f5b9e744117363afb03f0385e3,table2:R4,,,
96d4ec4cb1210662-table2-R5,2026-06-17,busan-buk,,명랑핫도그,문화교육국 직원 노고 격려 간식 구입,210000,96d4ec4cb121066249bd2f3a61e3e2d292d2a0f5b9e744117363afb03f0385e3,table2:R5,,,
96d4ec4cb1210662-table2-R6,2026-06-25,busan-buk,,흐른,문화교육국 업무보고 결과 논의 관련 차담회,43000,96d4ec4cb121066249bd2f3a61e3e2d292d2a0f5b9e744117363afb03f0385e3,table2:R6,,,
96d4ec4cb1210662-table3-R4,2026-06-19,busan-buk,,코지하우스,민선9기 공약사항 관련 청년위원 간담회 개최,129400,96d4ec4cb121066249bd2f3a61e3e2d292d2a0f5b9e744117363afb03f0385e3,table3:R4,,,
96d4ec4cb1210662-table6-R4,2026-06-19,busan-buk,,쿠팡,부서필요물품구입(사무실간식 등),70140,96d4ec4cb121066249bd2f3a61e3e2d292d2a0f5b9e744117363afb03f0385e3,table6:R4,,,
96d4ec4cb1210662-table6-R5,2026-06-22,busan-buk,,쿠팡,부서필요물품구입(사무실간식 등),140130,96d4ec4cb121066249bd2f3a61e3e2d292d2a0f5b9e744117363afb03f0385e3,table6:R5,,,
1733bf712cc74f76-table2-R4,2026-06-04,busan-buk,,쿠팡,부서운영소요물품 구입,168350,1733bf712cc74f764d4cb79f0b8612458179ba2b19ffc584affbfa5afdd0848c,table2:R4,,,
1733bf712cc74f76-table2-R5,2026-06-11,busan-buk,,쿠팡,부서운영소요물품 구입,34580,1733bf712cc74f764d4cb79f0b8612458179ba2b19ffc584affbfa5afdd0848c,table2:R5,,,
5bdb0b3b7fa39b52-sheet1-R5,2026-06-01,busan-buk,,곰보식당,노후계획도시 정비사업 추진방안 간담회,290000,5bdb0b3b7fa39b52bce10f3a8da3f26909cf51751cdf3ff2c90db2cd979d8bf3,sheet1:R5,,,
5bdb0b3b7fa39b52-sheet1-R6,2026-06-05,busan-buk,,곰보식당,폭염 대응체계 운영 개선 간담회,480000,5bdb0b3b7fa39b52bce10f3a8da3f26909cf51751cdf3ff2c90db2cd979d8bf3,sheet1:R6,,,
