record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
44b26288cf04f26d-sheet1-R5,2026-06-04,busan-busanjin,당감2동,이디야커피,유관단체(한국자유총연맹) 격려 다과 등 구입,100000,44b26288cf04f26d476d035f00f9d9ed0cfd754cc6ff30862de13158297c5a39,sheet1:R5,,,
44b26288cf04f26d-sheet1-R6,2026-06-08,busan-busanjin,당감2동,개인(성명 비공개),직원 경조사 부의금 지급,50000,44b26288cf04f26d476d035f00f9d9ed0cfd754cc6ff30862de13158297c5a39,sheet1:R6,,,
44b26288cf04f26d-sheet1-R7,2026-06-09,busan-busanjin,당감2동,네이버쇼핑,내방민원 음료 및 다과 구입,198400,44b26288cf04f26d476d035f00f9d9ed0cfd754cc6ff30862de13158297c5a39,sheet1:R7,,,
44b26288cf04f26d-sheet1-R8,2026-06-10,busan-busanjin,당감2동,한양족발,2분기 유관단체장 소통의 날 관련 간담회 개최,130000,44b26288cf04f26d476d035f00f9d9ed0cfd754cc6ff30862de13158297c5a39,sheet1:R8,,,
44b26288cf04f26d-sheet1-R9,2026-06-25,busan-busanjin,당감2동,덕이네집밥,유관단체(통장협의회) 격려 간담회 개최,254000,44b26288cf04f26d476d035f00f9d9ed0cfd754cc6ff30862de13158297c5a39,sheet1:R9,,,
44b26288cf04f26d-sheet3-R5,2026-06-04,busan-busanjin,당감2동,경찰서옆초밥집,선거 업무 추진 직원 격려 간담회 개최,307000,44b26288cf04f26d476d035f00f9d9ed0cfd754cc6ff30862de13158297c5a39,sheet3:R5,,,
e45e014f3b6b5796-sheet1-R3,2026-06-19,busan-busanjin,,네이버플러스 스토어,부서 운영을 위한 다과 구입,299480,e45e014f3b6b5796d68506d0b6ac4f5918c1d5e709d47c3ee3a652a126267ed2,sheet1:R3,,,
e45e014f3b6b5796-sheet1-R4,2026-06-29,busan-busanjin,,스콜,인사발령에 따른 직원 간담회 개최,152000,e45e014f3b6b5796d68506d0b6ac4f5918c1d5e709d47c3ee3a652a126267ed2,sheet1:R4,,,
e45e014f3b6b5796-sheet2-R3,2026-06-01,busan-busanjin,자원순환과,수정슈퍼,재활용사업소 화재 진화 근로자 등 노고 격려 음료 구입,40000,e45e014f3b6b5796d68506d0b6ac4f5918c1d5e709d47c3ee3a652a126267ed2,sheet2:R3,,,
10988279d6fde964-sheet1-R6,2026-06-30,busan-busanjin,일자리산업과,쿠팡,부서 다과 구입,152300,10988279d6fde9640fc7117d8182b1d9a6621713168f87eae88341df134eb5c4,sheet1:R6,,,
10988279d6fde964-sheet1-R7,2026-06-30,busan-busanjin,일자리산업과,삼다진족,직원 노고 격려 간담회,27900,10988279d6fde9640fc7117d8182b1d9a6621713168f87eae88341df134eb5c4,sheet1:R7,,,
10988279d6fde964-sheet2-R6,2026-06-12,busan-busanjin,일자리산업과,치키파니,청년친화도시 정책교류회 다과 구입,110000,10988279d6fde9640fc7117d8182b1d9a6621713168f87eae88341df134eb5c4,sheet2:R6,,,
10988279d6fde964-sheet2-R7,2026-06-22,busan-busanjin,일자리산업과,해쉬커피,상반기 청년행정인턴 성과공유회 다과 구입,100000,10988279d6fde9640fc7117d8182b1d9a6621713168f87eae88341df134eb5c4,sheet2:R7,,,
