record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
ce5af0bc1df3c6f0-table1-R3,2026-01-29,busan-dongnae,,㈜쿠팡,부서운영물품(다과류) 구입,96270,ce5af0bc1df3c6f0c5766ed2970b6d813d9284ee0086076443fdf4c7ba23e252,table1:R3,,,
ce5af0bc1df3c6f0-table1-R4,2026-01-30,busan-dongnae,,정림,인사이동에 따른 직원 간담회 개최,525000,ce5af0bc1df3c6f0c5766ed2970b6d813d9284ee0086076443fdf4c7ba23e252,table1:R4,,,
ce5af0bc1df3c6f0-table1-R5,2026-02-13,busan-dongnae,,예원한정식,착한결제 부서운영업무추진비 선결제,420000,ce5af0bc1df3c6f0c5766ed2970b6d813d9284ee0086076443fdf4c7ba23e252,table1:R5,,,
ce5af0bc1df3c6f0-table1-R6,2026-02-27,busan-dongnae,,㈜메가마트동래점,부서운영물품(다과류)구입,30400,ce5af0bc1df3c6f0c5766ed2970b6d813d9284ee0086076443fdf4c7ba23e252,table1:R6,,,
ce5af0bc1df3c6f0-table1-R7,2026-03-31,busan-dongnae,,㈜메가마트동래점,부서운영물품(다과류)구입,33930,ce5af0bc1df3c6f0c5766ed2970b6d813d9284ee0086076443fdf4c7ba23e252,table1:R7,,,
ce5af0bc1df3c6f0-table1-R8,2026-02-12,busan-dongnae,,정림,2026년 소비자식품위생감시원 간담회 개최,500000,ce5af0bc1df3c6f0c5766ed2970b6d813d9284ee0086076443fdf4c7ba23e252,table1:R8,,,
ce5af0bc1df3c6f0-table1-R9,2026-03-05,busan-dongnae,,밀대장79,2026년 공중위생감시원 공중위생서비스평가 조사원 간담회 개최(선결제),300000,ce5af0bc1df3c6f0c5766ed2970b6d813d9284ee0086076443fdf4c7ba23e252,table1:R9,,,
d5c92359c7f824e6-table1-R3,2026-06-09,busan-dongnae,,사헌삼계탕,동래자연사랑봉사회 격려 오찬 간담회,558000,d5c92359c7f824e62aae83707dbbcbdf6503ed711d23f487268834521880069a,table1:R3,,,
d5c92359c7f824e6-table1-R4,2026-06-24,busan-dongnae,,쿠팡(주)금정떡방앗간,탄소제로 에코투어 운영 다과 구입,74000,d5c92359c7f824e62aae83707dbbcbdf6503ed711d23f487268834521880069a,table1:R4,,,
d5c92359c7f824e6-table1-R5,2026-06-24,busan-dongnae,,쿠팡(주),부서운영물품(다과류등) 구입,313180,d5c92359c7f824e62aae83707dbbcbdf6503ed711d23f487268834521880069a,table1:R5,,,
