record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
4f83c0947f195012-sheet1-R4,2026-06-01,busan-gangseo,건설과,쿠팡,부서운영물품(차류) 구입 건의,202190,4f83c0947f195012e10ea86bee7c9f2d2041727ad705beac837d986ae8e0b91e,sheet1:R4,,,
e205c6ee7f34e553-sheet1-R3,2026-06-16,busan-gangseo,총무과,농******,부서 운영 물품 구입,450000,e205c6ee7f34e55346eb9f4a4006a13b7e853e789580c6d9aa84e186ac7fa9e9,sheet1:R3,,,
c922456e64dd0adb-sheet1-R3,2026-06-01,busan-gangseo,세무2과,쿠팡,다과 등 구입 건의,316370,c922456e64dd0adb5294c5e11f221c423c8466a5504d62b3c575160848278460,sheet1:R3,,,
c922456e64dd0adb-sheet1-R4,2026-06-09,busan-gangseo,세무2과,풍년식당,2026년 상반기 퇴직자 퇴임연 개최,400000,c922456e64dd0adb5294c5e11f221c423c8466a5504d62b3c575160848278460,sheet1:R4,,,
f4b5e323843ab59d-sheet1-R3,2026-06-04,busan-gangseo,경제진흥과,파스타크래프트 강서,「2026 서부산권 일자리박람회」행사 추진 간담회,270000,f4b5e323843ab59d53534e50e3754605845d4d6c44cd32203c1fcb43ba642208,sheet1:R3,,,
f4b5e323843ab59d-sheet1-R4,2026-06-12,busan-gangseo,경제진흥과,풍년식당,경제진흥과 직원 격려 간담회 비용 지출 건의,480000,f4b5e323843ab59d53534e50e3754605845d4d6c44cd32203c1fcb43ba642208,sheet1:R4,,,
f4b5e323843ab59d-sheet1-R5,2026-06-24,busan-gangseo,경제진흥과,텐퍼센트커피 강서구,유통분쟁조정위원회 회의 간담회,60400,f4b5e323843ab59d53534e50e3754605845d4d6c44cd32203c1fcb43ba642208,sheet1:R5,,,
c75027c8b6a523ed-sheet1-R3,2026-06-17,busan-gangseo,세무1과,풍년식당,지방세 세수 분석을 위한 간담회 개최 건의,390000,c75027c8b6a523ed425353bfd8c3e76910b1354ad9c7cdb17f633f1fc482d973,sheet1:R3,,,
aaf4e889bb7400de-sheet1-R4,2026-06-15,busan-gangseo,건강증진과,G마켓,부서 운영물품 구입 건의,200020,aaf4e889bb7400dead6d118d965c76a04ab49432021ef098625b36ca7f5ae684,sheet1:R4,,,
9dcb4bccf0049117-sheet1-R3,2026-01-15,busan-gangseo,토지정보과,가얏골감자탕 강서구,업무추진비 부산형 선결제 비용 지급 건의,380000,9dcb4bccf004911717cc54ee66842199de138bc29f838b5f6944db19cf67e54e,sheet1:R3,,,
9dcb4bccf0049117-sheet1-R4,2026-01-15,busan-gangseo,토지정보과,원스탑오피스,업무추진비 부산형 선결제 비용 지급 건의,378000,9dcb4bccf004911717cc54ee66842199de138bc29f838b5f6944db19cf67e54e,sheet1:R4,,,
9dcb4bccf0049117-sheet1-R5,2026-01-30,busan-gangseo,토지정보과,고귀관,업무추진비 부산형 선결제 비용 지급 건의,190000,9dcb4bccf004911717cc54ee66842199de138bc29f838b5f6944db19cf67e54e,sheet1:R5,,,
9dcb4bccf0049117-sheet1-R6,2026-01-30,busan-gangseo,토지정보과,고귀관,토지행정 주요 현안 공유를 위한 간담회 개최,300000,9dcb4bccf004911717cc54ee66842199de138bc29f838b5f6944db19cf67e54e,sheet1:R6,,,
9dcb4bccf0049117-sheet1-R7,2026-02-02,busan-gangseo,토지정보과,풍년식당,2026년 지적재조사측량 업무 추진을 위한 간담회 개최,400000,9dcb4bccf004911717cc54ee66842199de138bc29f838b5f6944db19cf67e54e,sheet1:R7,,,
9dcb4bccf0049117-sheet1-R8,2026-03-25,busan-gangseo,토지정보과,가얏골감자탕 강서구,부동산 중개업소 특별 지도 및 점검을 위한 간담회 개최,300000,9dcb4bccf004911717cc54ee66842199de138bc29f838b5f6944db19cf67e54e,sheet1:R8,,,
9dcb4bccf0049117-sheet1-R9,2026-04-22,busan-gangseo,토지정보과,대저농협협동조합,커피 등 차류 구입 건의,310740,9dcb4bccf004911717cc54ee66842199de138bc29f838b5f6944db19cf67e54e,sheet1:R9,,,
9dcb4bccf0049117-sheet1-R10,2026-05-21,busan-gangseo,토지정보과,황금참숯뒷통구이,2026년 상반기 직원 격려 간담회 개최,480000,9dcb4bccf004911717cc54ee66842199de138bc29f838b5f6944db19cf67e54e,sheet1:R10,,,
9dcb4bccf0049117-sheet1-R11,2026-06-02,busan-gangseo,토지정보과,황금참숯뒷통구이,토지거래허가구역 협의 등 관계기관(단체) 간담회 비용 지급,320000,9dcb4bccf004911717cc54ee66842199de138bc29f838b5f6944db19cf67e54e,sheet1:R11,,,
453bdcb95aee04e5-sheet1-R3,2026-04-24,busan-gangseo,가족복지과,만드리곤드레밥,지역아동센터 운영관련 간담회,156000,453bdcb95aee04e5590031c741095883366fcf190c58320295c4e8b6fb448b80,sheet1:R3,,,
453bdcb95aee04e5-sheet1-R4,2026-05-04,busan-gangseo,가족복지과,풍천장어일번가,아동수당 관련 간담회,256000,453bdcb95aee04e5590031c741095883366fcf190c58320295c4e8b6fb448b80,sheet1:R4,,,
453bdcb95aee04e5-sheet1-R5,2026-05-21,busan-gangseo,가족복지과,명지 일삼육고기집,어린이날 행사 관련 간담회,90000,453bdcb95aee04e5590031c741095883366fcf190c58320295c4e8b6fb448b80,sheet1:R5,,,
4ca4c94722876b43-sheet1-R4,2026-06-11,busan-gangseo,보건행정과,하이뽕,2026년 지역사회건강조사 관련 간담회,180000,4ca4c94722876b431bf0fcccbbb58501931b299b51fcb97f79be8321edcec047,sheet1:R4,,,
4ca4c94722876b43-sheet1-R5,2026-06-12,busan-gangseo,보건행정과,11번가,녹산보건지소 운영물품 구입,38520,4ca4c94722876b431bf0fcccbbb58501931b299b51fcb97f79be8321edcec047,sheet1:R5,,,
4ca4c94722876b43-sheet1-R6,2026-06-17,busan-gangseo,보건행정과,낙양회센터,2026년 상반기 '직원헌혈의 날' 행사 관련 간담회,111000,4ca4c94722876b431bf0fcccbbb58501931b299b51fcb97f79be8321edcec047,sheet1:R6,,,
1c872dd940a57421-sheet1-R3,2026-06-24,busan-gangseo,농산과,남도갈비,강서구 농지위원회 운영 관련 간담회,360000,1c872dd940a5742171b0079becc7e0300ae1d40dbd7955f113afb9b775437775,sheet1:R3,,,
1c872dd940a57421-sheet1-R4,2026-06-29,busan-gangseo,농산과,황금참숯뒷통구이,직원 격려 만찬 개최 비용 지급 건의,340000,1c872dd940a5742171b0079becc7e0300ae1d40dbd7955f113afb9b775437775,sheet1:R4,,,
fc402ed3078e1304-sheet1-R3,2026-06-05,busan-gangseo,도시개발과,남도갈비,부서 직원 격려 간담회,450000,fc402ed3078e13048aec2c97d4c9b9c825ce46711d7085cd5d0bb37719047b22,sheet1:R3,,,
128b4ee2d484828e-sheet1-R3,2026-05-06,busan-gangseo,도시개발과,쿠팡,부서운영물품(차류),276340,128b4ee2d484828ee71ed062be14f33329df6461e92db762ac29a1b2ae345bb1,sheet1:R3,,,
0fcd4f308c2d0c88-sheet1-R3,2026-04-02,busan-gangseo,도시개발과,보리뜰,지구단위계획 재정비용역 관련 간담회,98000,0fcd4f308c2d0c88de2a80bee804f4dcfb01a27dcdc99f1c32c0d9ea4fe57b65,sheet1:R3,,,
0fcd4f308c2d0c88-sheet1-R4,2026-04-02,busan-gangseo,도시개발과,투썸플레이스,지구단위계획 재정비용역 관련 간담회,19800,0fcd4f308c2d0c88de2a80bee804f4dcfb01a27dcdc99f1c32c0d9ea4fe57b65,sheet1:R4,,,
0fcd4f308c2d0c88-sheet1-R5,2026-04-08,busan-gangseo,도시개발과,쿠팡,부서운영물품(차류),109210,0fcd4f308c2d0c88de2a80bee804f4dcfb01a27dcdc99f1c32c0d9ea4fe57b65,sheet1:R5,,,
bfd3e4083f2a8756-sheet1-R3,2026-03-06,busan-gangseo,도시개발과,강변마당,해빙기 안전점검 대비 관계자 간담회,174000,bfd3e4083f2a87563ef500f32070d6c0b91c7acad47e679158c9588b450e9068,sheet1:R3,,,
bfd3e4083f2a8756-sheet1-R4,2026-03-06,busan-gangseo,도시개발과,흐른,해빙기 안전점검 대비 관계자 간담회,54000,bfd3e4083f2a87563ef500f32070d6c0b91c7acad47e679158c9588b450e9068,sheet1:R4,,,
bfd3e4083f2a8756-sheet1-R5,2026-03-09,busan-gangseo,도시개발과,행운식당,부서 직원 격려 간담회 개최,130000,bfd3e4083f2a87563ef500f32070d6c0b91c7acad47e679158c9588b450e9068,sheet1:R5,,,
bfd3e4083f2a8756-sheet1-R6,2026-03-19,busan-gangseo,도시개발과,쿠팡,부서운영물품(차류),171320,bfd3e4083f2a87563ef500f32070d6c0b91c7acad47e679158c9588b450e9068,sheet1:R6,,,
fb9f8c6828fdad87-sheet1-R3,2026-02-11,busan-gangseo,도시개발과,풍년식당,부서 직원 격려 간담회,400000,fb9f8c6828fdad870b94101226660e66f5934c710376f8100f8266abf6a9e825,sheet1:R3,,,
fb9f8c6828fdad87-sheet1-R4,2026-02-24,busan-gangseo,도시개발과,쿠팡,부서운영물품(차류),153180,fb9f8c6828fdad870b94101226660e66f5934c710376f8100f8266abf6a9e825,sheet1:R4,,,
9d30836f5c3ac06d-sheet1-R3,2026-04-16,busan-gangseo,도시관리과,대저농협협동조합,부서운영 물품 구입비 지급,451190,9d30836f5c3ac06dac75e7fafe674c34b60977866f048687bf887d446b60fe1d,sheet1:R3,,,
9d30836f5c3ac06d-sheet1-R4,2026-04-24,busan-gangseo,도시관리과,쿠팡,다과류 등 구매 비용 지급,154900,9d30836f5c3ac06dac75e7fafe674c34b60977866f048687bf887d446b60fe1d,sheet1:R4,,,
9d30836f5c3ac06d-sheet1-R5,2026-05-06,busan-gangseo,도시관리과,쿠팡,다과류 등 구매 비용 지급,100640,9d30836f5c3ac06dac75e7fafe674c34b60977866f048687bf887d446b60fe1d,sheet1:R5,,,
9d30836f5c3ac06d-sheet1-R6,2026-05-08,busan-gangseo,도시관리과,쿠팡,부서운영 물품 구매,76900,9d30836f5c3ac06dac75e7fafe674c34b60977866f048687bf887d446b60fe1d,sheet1:R6,,,
