record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
9aaaf9ee49ea0091-table1-R5,2026-05-08,busan-gijang,도서관과,오란,정관에듀파크 대강당 명칭 선정을 위한 공모심사위원회 다과 구입,177000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R5,,,
9aaaf9ee49ea0091-table1-R6,2026-04-10,busan-gijang,도서관과,정식당,국립생태원과의 업무협의 간담회 개최 비용,85000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R6,,,
9aaaf9ee49ea0091-table1-R21,2026-06-28,busan-gijang,장안읍,비원식탁,일본 분고오노시 방문단 영접 간담회 개최,450000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R21,,,
9aaaf9ee49ea0091-table1-R22,2026-06-23,busan-gijang,장안읍,미미떡방앗간,제2차 장안읍지역사회보장협의체 다과 구입,50000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R22,,,
9aaaf9ee49ea0091-table1-R25,2026-04-03,busan-gijang,장안읍,하나로마트,직원 및 민원 응대용 음료 구입,90000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R25,,,
9aaaf9ee49ea0091-table1-R26,2026-04-09,busan-gijang,장안읍,장수한우,좌천시장 만세운동 재현행사 개최 성공에 따른 간담회 개최,300000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R26,,,
9aaaf9ee49ea0091-table1-R27,2026-03-31,busan-gijang,장안읍,웅장상회,현안업무 추진 격려를 위한 직원 간담회 개최,556000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R27,,,
9aaaf9ee49ea0091-table1-R30,2026-06-11,busan-gijang,도시계획과,기장군청3층브리핑룸(빅세일마트),2025년 도시관리계획 재정비 검토용역추진상황 보고회 개최에 따른 물품제공,16000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R30,,,
9aaaf9ee49ea0091-table1-R31,2026-05-19,busan-gijang,도시계획과,"기장군청3층브리핑룸(카페차성,빅세일마트)",2026년 제2회 기장군 도시계획위원회 개최에 따른 다과제공,100000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R31,,,
9aaaf9ee49ea0091-table1-R32,2026-03-26,busan-gijang,도시계획과,"기장군청3층브리핑룸(카페차성,빅세일마트)",2026년 제1회 기장군 도시계획위원회 개최에 따른 다과제공,100000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R32,,,
9aaaf9ee49ea0091-table1-R33,2026-03-12,busan-gijang,도시계획과,"기장군청3층브리핑룸(카페차성,빅세일마트)",2026년 제1회 기장군 도시건축공동위원회 개최에 따른 다과제공,100000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R33,,,
9aaaf9ee49ea0091-table1-R35,2026-02-11,busan-gijang,건축과,우봉식당,건축과 직원 간담회,960000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R35,,,
9aaaf9ee49ea0091-table1-R38,2026-01-14,busan-gijang,문화관광과,금석SOBAE,기장군 웰니스·의료관광 협의체 간담회 개최,360000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R38,,,
9aaaf9ee49ea0091-table1-R58,2026-06-29,busan-gijang,기획감사실,강고집,군정정책자문위원회 간담회,1080000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R58,,,
9aaaf9ee49ea0091-table1-R59,2026-06-24,busan-gijang,기획감사실,급행장,군정 운영을 위한 간담회 개최 건의,368000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R59,,,
9aaaf9ee49ea0091-table1-R60,2026-06-26,busan-gijang,기획감사실,일광미식 등,주요 현안업무 추진을 위한 간담회 개최,206550,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R60,,,
9aaaf9ee49ea0091-table1-R61,2026-06-23,busan-gijang,기획감사실,기장끝집 등,현안업무 추진을 위한 간담회 개최 건의,328800,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R61,,,
9aaaf9ee49ea0091-table1-R73,2026-05-26,busan-gijang,행정지원과,파리바게트 기장점,제9회 전국동시지방선거 선거상황실 근무자 간식 구입,275000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R73,,,
9aaaf9ee49ea0091-table1-R74,2026-05-16,busan-gijang,행정지원과,양산도,제9회 전국동시지방선거 업무추진 격려 간담회,600000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R74,,,
9aaaf9ee49ea0091-table1-R76,2026-06-22,busan-gijang,행정지원과,기장끝집,산업재해 업무추진을 위한 간담회,300000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R76,,,
9aaaf9ee49ea0091-table1-R111,2026-05-08,busan-gijang,건설과,백송삼계탕,김해국토관리청 업무협의를 위한 간담회,95000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R111,,,
9aaaf9ee49ea0091-table1-R112,2026-04-30,busan-gijang,건설과,장수한우전문점,국도14호선 기장~일광 도로 건설 사업 등에 대한 부산시와 현안업무 협의(간담회),426000,9aaaf9ee49ea0091fbc8977f8296b63c58ec388e06ff154744f7bd18bab221dc,table1:R112,,,
