record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
63ff2fccd334ab9c-sheet1-R5,2026-06-09,busan-haeundae,토지정보과,쿠팡,사무실 차 구입,67720,63ff2fccd334ab9c25c31769e872afff621c339b1467cb410d9c042a35e3ea3a,sheet1:R5,,,
63ff2fccd334ab9c-sheet1-R6,2026-06-24,busan-haeundae,토지정보과,"옵스, 세이브존","지적재조사위원회 개최 관련 다과, 생수 구입",38000,63ff2fccd334ab9c25c31769e872afff621c339b1467cb410d9c042a35e3ea3a,sheet1:R6,,,
b6135d4e4de6fc5f-sheet1-R2,2026-04-08,busan-haeundae,해양진흥과,네이버,내방객 응대용 다과 구입,64900,b6135d4e4de6fc5f2fcba704c2ef8099f6b34cd3b8741d0b67cab7c82d124891,sheet1:R2,,,
b6135d4e4de6fc5f-sheet1-R3,2026-05-13,busan-haeundae,해양진흥과,주식회사 에스투홀딩스컴퍼니,어항관리 업무 협의 간담회 개최,116000,b6135d4e4de6fc5f2fcba704c2ef8099f6b34cd3b8741d0b67cab7c82d124891,sheet1:R3,,,
b6135d4e4de6fc5f-sheet1-R4,2026-05-22,busan-haeundae,해양진흥과,초일육,과장님 퇴임에 따른 송별회 및 직원 간담회,145900,b6135d4e4de6fc5f2fcba704c2ef8099f6b34cd3b8741d0b67cab7c82d124891,sheet1:R4,,,
b6135d4e4de6fc5f-sheet1-R5,2026-06-09,busan-haeundae,해양진흥과,투썸플레이스 해운대청사포점,연안어장 환경개선사업 기간제근로자 간담회 개최,58900,b6135d4e4de6fc5f2fcba704c2ef8099f6b34cd3b8741d0b67cab7c82d124891,sheet1:R5,,,
b6135d4e4de6fc5f-sheet1-R6,2026-06-12,busan-haeundae,해양진흥과,뉴한국마트,사무실 비치용 간식 등 구입,108500,b6135d4e4de6fc5f2fcba704c2ef8099f6b34cd3b8741d0b67cab7c82d124891,sheet1:R6,,,
b6135d4e4de6fc5f-sheet1-R7,2026-06-17,busan-haeundae,해양진흥과,주식회사 창조시티(더레스트마린지점),해양레저 특화사업장 실무협의회 운영 다과 구입,33900,b6135d4e4de6fc5f2fcba704c2ef8099f6b34cd3b8741d0b67cab7c82d124891,sheet1:R7,,,
23cc090acdb36672-sheet1-R5,2026-04-24,busan-haeundae,,에스에스지페인먼츠,신용회복위원회 연계 협력 간담회 다과구입,40600,23cc090acdb366729d64ba02cd5aac95a1e1808fa88f9a090183bdd23278f690,sheet1:R5,,,
23cc090acdb36672-sheet1-R6,2026-05-19,busan-haeundae,,트레이더스 연산점,제6기 지역사회보장계획 수립용역 착수보고회 다과 구입,36240,23cc090acdb366729d64ba02cd5aac95a1e1808fa88f9a090183bdd23278f690,sheet1:R6,,,
