record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
5f6ae85938e27c39-sheet1-R5,2026-06-23,busan-jung,주민복지국,밀양횟집,가족행복과 여성정책계 직원 격려 간담회,116000,5f6ae85938e27c39e294d0d52058e6375f1786aa6c47746eeb2b71a455475008,sheet1:R5,,,
5f6ae85938e27c39-sheet1-R6,2026-06-17,busan-jung,복지정책과,모리쵸,직원 격려 간담회,100000,5f6ae85938e27c39e294d0d52058e6375f1786aa6c47746eeb2b71a455475008,sheet1:R6,,,
5f6ae85938e27c39-sheet1-R7,2026-06-29,busan-jung,복지정책과,큰집,직원 격려 간담회,323000,5f6ae85938e27c39e294d0d52058e6375f1786aa6c47746eeb2b71a455475008,sheet1:R7,,,
a24fe11f51867135-sheet1-R4,2026-06-10,busan-jung,복지정책과,이재모피자,통합사례관리 관계자 간담회,118500,a24fe11f51867135da6261fe7914bfdba8f8811405240330d876149ee94d3667,sheet1:R4,,,
a24fe11f51867135-sheet1-R5,2026-06-15,busan-jung,복지정책과,동백 다이닝,지역사회보장협의체 관계자 간담회,57600,a24fe11f51867135da6261fe7914bfdba8f8811405240330d876149ee94d3667,sheet1:R5,,,
a24fe11f51867135-sheet1-R6,2026-06-23,busan-jung,복지정책과,시골통돼지볶음,통합돌봄 관계자 간담회 개최,47500,a24fe11f51867135da6261fe7914bfdba8f8811405240330d876149ee94d3667,sheet1:R6,,,
c6209c57bf5b863f-sheet1-R5,2026-05-13,busan-jung,주민복지국,탑플러스마트,주민복지국장실 운영물품 구입,300000,c6209c57bf5b863f3d4d8fc7e77f5c2ff35fc8efc4140c53b7131f9d5f27faf9,sheet1:R5,,,
c6209c57bf5b863f-sheet1-R6,2026-05-26,busan-jung,주민복지국,영주횟집,민원봉사과 직원 격려 간담회,83000,c6209c57bf5b863f3d4d8fc7e77f5c2ff35fc8efc4140c53b7131f9d5f27faf9,sheet1:R6,,,
c6209c57bf5b863f-sheet1-R7,2026-05-27,busan-jung,주민복지국,본참치,복지정책과 직원 격려 간담회,138500,c6209c57bf5b863f3d4d8fc7e77f5c2ff35fc8efc4140c53b7131f9d5f27faf9,sheet1:R7,,,
c6209c57bf5b863f-sheet1-R8,2026-05-29,busan-jung,주민복지국,본참치,생활보장과 직원 격려 간담회,75000,c6209c57bf5b863f3d4d8fc7e77f5c2ff35fc8efc4140c53b7131f9d5f27faf9,sheet1:R8,,,
