record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
121480f27a78abf5-sheet1-R8,2026-06-19,busan-sasang,,㈜진선명 외1,도시건설국 현안업무 토의 및 간담회,62000,121480f27a78abf59db7efbdac94a6e88b609ad2441ec6e162416d4988e44e43,sheet1:R8,,,
869a75994bfb404f-table1-R3,2026-06-10,busan-sasang,,쿠팡,부서 운영물품(커피 등) 구입,144750,869a75994bfb404f47ac78e8c37319f76c1b35ce1f0c66695197d772d9e086a4,table1:R3,,,
bd086f836987edd4-sheet1-R7,2026-06-09,busan-sasang,,누리마을 감자탕 주례점,주례1동 적십자봉사회 간담회 개최,200000,bd086f836987edd4daabc3d4ff11221d1a95493ebf315a9aa55d7286f74aceb4,sheet1:R7,,,
bd086f836987edd4-sheet1-R8,2026-06-17,busan-sasang,,청도추어탕,주례1동 새마을협의회 간담회 개최,182000,bd086f836987edd4daabc3d4ff11221d1a95493ebf315a9aa55d7286f74aceb4,sheet1:R8,,,
bd086f836987edd4-sheet1-R9,2026-06-23,busan-sasang,,대가,주례1동 자율방재단 간담회 개최,90000,bd086f836987edd4daabc3d4ff11221d1a95493ebf315a9aa55d7286f74aceb4,sheet1:R9,,,
bd086f836987edd4-sheet1-R10,2026-06-24,busan-sasang,,누리마을 감자탕 주례점,주례1동 새마을부녀회 간담회 개최,181000,bd086f836987edd4daabc3d4ff11221d1a95493ebf315a9aa55d7286f74aceb4,sheet1:R10,,,
377439a719cc0576-table1-R3,2026-06-01,busan-sasang,,하오츠,건설과 직원과의 간담회 개최,122000,377439a719cc0576371389c5dc060f70b24a25eb16f64170521158584abd8df2,table1:R3,,,
377439a719cc0576-table1-R4,2026-06-02,busan-sasang,,걸작,주거돌봄체계 구축을 위한 간담회 개최,132000,377439a719cc0576371389c5dc060f70b24a25eb16f64170521158584abd8df2,table1:R4,,,
377439a719cc0576-table1-R5,2026-06-04,busan-sasang,,컴온셰프,자치행정과 직원 격려 간담회 개최,220000,377439a719cc0576371389c5dc060f70b24a25eb16f64170521158584abd8df2,table1:R5,,,
377439a719cc0576-table1-R6,2026-06-08,busan-sasang,,부산양지탕,자주재원 확충 방안 논의를 위한 간담회 개최,120000,377439a719cc0576371389c5dc060f70b24a25eb16f64170521158584abd8df2,table1:R6,,,
