record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
6671593185a7884c-sheet1-R12,2026-04-21,daegu-dalseong,논공읍,삼천포해물탕외 1,직원 격려 식사 제공 및 지출,190500,6671593185a7884cb0b122173501c8a85412d720365b98b6c976b2404f819fe4,sheet1:R12,,,
6671593185a7884c-sheet1-R13,2026-04-23,daegu-dalseong,논공읍,논공숯불생오리,직원 격려 식사 제공 및 지출,108000,6671593185a7884cb0b122173501c8a85412d720365b98b6c976b2404f819fe4,sheet1:R13,,,
6671593185a7884c-sheet2-R12,2026-05-12,daegu-dalseong,논공읍,산얼면옥외 1,직원 격려 간식 제공 및 지출,85000,6671593185a7884cb0b122173501c8a85412d720365b98b6c976b2404f819fe4,sheet2:R12,,,
6671593185a7884c-sheet2-R13,2026-05-22,daegu-dalseong,논공읍,산얼면옥외 1,직원 격려 식사 제공 및 지출,121000,6671593185a7884cb0b122173501c8a85412d720365b98b6c976b2404f819fe4,sheet2:R13,,,
6671593185a7884c-sheet3-R12,2026-06-24,daegu-dalseong,논공읍,일심명가 현풍점,노인회 운영관계자 식사 제공 및 지출,71000,6671593185a7884cb0b122173501c8a85412d720365b98b6c976b2404f819fe4,sheet3:R12,,,
6671593185a7884c-sheet3-R21,2026-06-18,daegu-dalseong,논공읍,냄비집,이장협의회 운영관계자 식사 제공 및 지출,406000,6671593185a7884cb0b122173501c8a85412d720365b98b6c976b2404f819fe4,sheet3:R21,,,
6671593185a7884c-sheet3-R22,2026-06-24,daegu-dalseong,논공읍,아르스(Ars),자연보호협의회 우리동네 새단장 집중청소 실시 관계자 간식 제공 및 지출,182000,6671593185a7884cb0b122173501c8a85412d720365b98b6c976b2404f819fe4,sheet3:R22,,,
12b0e8316e1d25f4-sheet1-R6,2026-04-07,daegu-dalseong,관광과,낙지이야기 논공점,,40000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R6,,,
12b0e8316e1d25f4-sheet1-R7,2026-04-14,daegu-dalseong,관광과,홍천뚝배기성산점,,40000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R7,,,
12b0e8316e1d25f4-sheet1-R8,2026-04-17,daegu-dalseong,관광과,와촌식당(현풍점),,73000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R8,,,
12b0e8316e1d25f4-sheet1-R9,2026-04-22,daegu-dalseong,관광과,모메존꽁보리밥,,60000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R9,,,
12b0e8316e1d25f4-sheet1-R10,2026-04-24,daegu-dalseong,관광과,서산가마솥국밥,,56000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R10,,,
12b0e8316e1d25f4-sheet1-R11,2026-04-27,daegu-dalseong,관광과,달콤커피 대구대곡점,,35500,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R11,,,
12b0e8316e1d25f4-sheet1-R12,2026-05-08,daegu-dalseong,관광과,미성,,76000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R12,,,
12b0e8316e1d25f4-sheet1-R13,2026-05-08,daegu-dalseong,관광과,금포리 숯불촌,,129000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R13,,,
12b0e8316e1d25f4-sheet1-R14,2026-05-13,daegu-dalseong,관광과,홍천뚝배기성산점,,43000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R14,,,
12b0e8316e1d25f4-sheet1-R15,2026-05-22,daegu-dalseong,관광과,칭따오양꼬치,,200000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R15,,,
12b0e8316e1d25f4-sheet1-R16,2026-06-01,daegu-dalseong,관광과,고집센그집갈비탕(화원점),,39000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R16,,,
12b0e8316e1d25f4-sheet1-R17,2026-06-04,daegu-dalseong,관광과,장군소머리곰탕,,36000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R17,,,
12b0e8316e1d25f4-sheet1-R18,2026-06-16,daegu-dalseong,관광과,보백관 서재본점,,33000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R18,,,
12b0e8316e1d25f4-sheet1-R19,2026-06-30,daegu-dalseong,관광과,홍천뚝배기성산점,,24000,12b0e8316e1d25f4fc3dc541c778c857e10862b9ca78fb8d93e489e4053fcf8b,sheet1:R19,,,
fc6053f3ae327e9f-sheet1-R11,2026-04-01,daegu-dalseong,청소자원과,앞산옻닭 앞산생오리마을,청소행정 업무 협의에 따른 식사 제공 및 지출,65000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R11,,,
fc6053f3ae327e9f-sheet1-R12,2026-04-07,daegu-dalseong,청소자원과,동주복집,자원순환 업무 협의에 따른 식사 제공 및 지출,184000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R12,,,
fc6053f3ae327e9f-sheet1-R13,2026-04-17,daegu-dalseong,청소자원과,웰빙백세시대,폐기물관리 업무 협의에 따른 식사 제공 및 지출,96000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R13,,,
fc6053f3ae327e9f-sheet1-R14,2026-04-20,daegu-dalseong,청소자원과,길목가든,청소행정 업무 협의에 따른 식사 제공 및 지출,30000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R14,,,
fc6053f3ae327e9f-sheet1-R15,2026-04-30,daegu-dalseong,청소자원과,닭한마리행복한집,청소행정 업무 협의에 따른 식사 제공 및 지출,105000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R15,,,
fc6053f3ae327e9f-sheet1-R16,2026-05-11,daegu-dalseong,청소자원과,앞산옻닭 앞산생오리마을,폐기물관리 업무 협의에 따른 식사 제공 및 지출,66000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R16,,,
fc6053f3ae327e9f-sheet1-R17,2026-05-12,daegu-dalseong,청소자원과,웰빙백세시대,자원순환 업무 협의에 따른 식사 제공 및 지출,39000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R17,,,
fc6053f3ae327e9f-sheet1-R18,2026-05-14,daegu-dalseong,청소자원과,달성면옥,폐기물관리 업무 협의에 따른 식사 제공 및 지출,29000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R18,,,
fc6053f3ae327e9f-sheet1-R19,2026-05-15,daegu-dalseong,청소자원과,일송정,청소행정 업무 협의에 따른 식사 제공 및 지출,72000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R19,,,
fc6053f3ae327e9f-sheet1-R20,2026-05-20,daegu-dalseong,청소자원과,주왕산삼계탕(현풍점),자원순환 업무 협의에 따른 식사 제공 및 지출,100000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R20,,,
fc6053f3ae327e9f-sheet1-R26,2026-04-03,daegu-dalseong,청소자원과,봉수아피자,청소자원과 직원 격려 간식 제공 및 지출,83700,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R26,,,
fc6053f3ae327e9f-sheet1-R27,2026-04-24,daegu-dalseong,청소자원과,짬뽕전문 대흥이,부서 직원 격려를 위한 식사 제공 및 지출,153000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R27,,,
fc6053f3ae327e9f-sheet1-R28,2026-05-27,daegu-dalseong,청소자원과,닭한마리행복한집,폐기물관리팀 직원 격려를 위한 식사 제공 및 지출,70000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R28,,,
fc6053f3ae327e9f-sheet1-R29,2026-06-12,daegu-dalseong,청소자원과,호식이두마리치킨,청소행정팀 직원 격려를 위한 식사 제공 및 지출,61000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R29,,,
fc6053f3ae327e9f-sheet1-R30,2026-06-24,daegu-dalseong,청소자원과,산얼면옥,자원순환팀 직원 격려를 위한 식사 제공 및 지출,90000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R30,,,
fc6053f3ae327e9f-sheet1-R31,2026-06-25,daegu-dalseong,청소자원과,우성,폐기물관리팀 직원 격려를 위한 식사 제공 및 지출,61000,fc6053f3ae327e9fe3f4dbc9a68c6311409502d155538aa2c90bb2e77ab4fffe,sheet1:R31,,,
