record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
9d9b0d955957a0d2-sheet1-R5,2026-04-27,daegu-gunwi,주민복지실,군위상황약수삼계탕,식사제공,294000,9d9b0d955957a0d21fc256eee5eb994ace0c8bd794adbd040303b682c0b1e6f4,sheet1:R5,,,
9d9b0d955957a0d2-sheet1-R6,2026-05-29,daegu-gunwi,주민복지실,셈's샌&샐,간식제공,160000,9d9b0d955957a0d21fc256eee5eb994ace0c8bd794adbd040303b682c0b1e6f4,sheet1:R6,,,
9d9b0d955957a0d2-sheet1-R7,2026-06-10,daegu-gunwi,주민복지실,커피왕(군위지점),간식제공(보훈회관 건립 공정회의),50000,9d9b0d955957a0d21fc256eee5eb994ace0c8bd794adbd040303b682c0b1e6f4,sheet1:R7,,,
9d9b0d955957a0d2-sheet1-R8,2026-06-19,daegu-gunwi,주민복지실,참숯오리,식사제공(구군 청소년상담복지센터),210000,9d9b0d955957a0d21fc256eee5eb994ace0c8bd794adbd040303b682c0b1e6f4,sheet1:R8,,,
9d9b0d955957a0d2-sheet1-R9,2026-06-19,daegu-gunwi,주민복지실,한밤황토집,식사제공(노인회),255000,9d9b0d955957a0d21fc256eee5eb994ace0c8bd794adbd040303b682c0b1e6f4,sheet1:R9,,,
279f0a351d791996-table1-R2,2026-04-17,daegu-gunwi,지역활력과,다락재쉼터,군위군 민생안정지원금 정산을 위한 군위사랑상품권 관계자들과 간담회 실시,206000,279f0a351d791996c1ec2d5dae350a259bc92539e3ce79fadafcac7c1d9455d0,table1:R2,,,
279f0a351d791996-table1-R3,2026-04-23,daegu-gunwi,지역활력과,구니커피,군위군 농촌공간 재구조화 및 재생 계획 수립을 위한 업무관계자들과 간담회 실시,52000,279f0a351d791996c1ec2d5dae350a259bc92539e3ce79fadafcac7c1d9455d0,table1:R3,,,
279f0a351d791996-table1-R4,2026-04-29,daegu-gunwi,지역활력과,주식회사 민속친한우,2027년 취약지역 생활여건 개조사업 공모를 위한 공모 관계자들과 간담회 실시,239700,279f0a351d791996c1ec2d5dae350a259bc92539e3ce79fadafcac7c1d9455d0,table1:R4,,,
279f0a351d791996-table1-R5,2026-05-21,daegu-gunwi,지역활력과,연화식당,군위전통시장 활성화를 위한 상인회 관계자들과 간담회 실시,175000,279f0a351d791996c1ec2d5dae350a259bc92539e3ce79fadafcac7c1d9455d0,table1:R5,,,
279f0a351d791996-table1-R6,2026-05-28,daegu-gunwi,지역활력과,석담,2027년 취약지역 생활여건 개조사업 공모를 위한 공모 관계자들과 간담회 실시,170000,279f0a351d791996c1ec2d5dae350a259bc92539e3ce79fadafcac7c1d9455d0,table1:R6,,,
279f0a351d791996-table1-R7,2026-06-09,daegu-gunwi,지역활력과,군위부계닭갈비,2027년 취약지역 생활여건 개조사업 공모 중앙평가 참석에 따른 관계자 격려 및 원활한 평가 대응을 위한 식사 제공,127000,279f0a351d791996c1ec2d5dae350a259bc92539e3ce79fadafcac7c1d9455d0,table1:R7,,,
0f00aaa2130dba06-table1-R2,2026-03-30,daegu-gunwi,총무과,일미정,직원격려 식사제공(의전업무 직원 격려),180000,0f00aaa2130dba06184e372eb69feb6ee35358bd431e573c14379ed137121aa4,table1:R2,,,
0f00aaa2130dba06-table1-R3,2026-04-01,daegu-gunwi,총무과,성원숯불,직원격려 식사제공(총무과 직원 격려),259000,0f00aaa2130dba06184e372eb69feb6ee35358bd431e573c14379ed137121aa4,table1:R3,,,
0f00aaa2130dba06-table1-R4,2026-04-02,daegu-gunwi,총무과,만선수산,직원격려 식사제공(인허가과 직원 격려),360000,0f00aaa2130dba06184e372eb69feb6ee35358bd431e573c14379ed137121aa4,table1:R4,,,
0f00aaa2130dba06-table1-R5,2026-04-06,daegu-gunwi,총무과,개인(성명 비공개),소속직원 축의금 전달,50000,0f00aaa2130dba06184e372eb69feb6ee35358bd431e573c14379ed137121aa4,table1:R5,,,
0f00aaa2130dba06-table1-R6,2026-04-07,daegu-gunwi,총무과,개인(성명 비공개),소속직원 축의금 전달,100000,0f00aaa2130dba06184e372eb69feb6ee35358bd431e573c14379ed137121aa4,table1:R6,,,
