record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
04508349d64c36d9-sheet1-R3,2026-06-09,daegu-seo,평리3동,문화로 256,"자율방범대 간담회 개최(동장 외 직원1명, 자율방범대장 외 회원 7명)",200000,04508349d64c36d99ce4ca1dbb4d3686f817cc766e2a1dd2bea26aa45db723b6,sheet1:R3,,,
04508349d64c36d9-sheet1-R4,2026-06-17,daegu-seo,평리3동,문화로 271,"지역사회보장협의체 간담회 개최(동장 외 직원 1명, 지역사회보장협의체 위원장 외 7명)",144000,04508349d64c36d99ce4ca1dbb4d3686f817cc766e2a1dd2bea26aa45db723b6,sheet1:R4,,,
04508349d64c36d9-sheet1-R5,2026-06-26,daegu-seo,평리3동,서대구로 130,"주민자치위원회 간담회 개최(동장 외 직원1명, 주민자치위원장 외 위원 3명)",69000,04508349d64c36d99ce4ca1dbb4d3686f817cc766e2a1dd2bea26aa45db723b6,sheet1:R5,,,
524f01ec985755fa-sheet4-R3,2026-04-07,daegu-seo,평리3동,와룡로 169,직원 격려 간담회 개최,360000,524f01ec985755fae64110e932ad22c95db0e647eb459a7a6800af9efd7732d9,sheet4:R3,,,
524f01ec985755fa-sheet4-R4,2026-04-30,daegu-seo,평리3동,문화로 256,직원 격려 간담회 개최,210000,524f01ec985755fae64110e932ad22c95db0e647eb459a7a6800af9efd7732d9,sheet4:R4,,,
6747c19b64673b85-sheet1-R3,2026-06-05,daegu-seo,생활환경과,안동한우생고기,현안업무 추진 간담회,63000,6747c19b64673b85439b596e69bef42971f75e040b3264b54e2d320797057ba5,sheet1:R3,,,
6747c19b64673b85-sheet1-R4,2026-06-17,daegu-seo,생활환경과,푸른식당,현안업무 추진 간담회,176000,6747c19b64673b85439b596e69bef42971f75e040b3264b54e2d320797057ba5,sheet1:R4,,,
6747c19b64673b85-sheet1-R5,2026-06-22,daegu-seo,생활환경과,한끼밥상,현안업무 추진 간담회,228000,6747c19b64673b85439b596e69bef42971f75e040b3264b54e2d320797057ba5,sheet1:R5,,,
6747c19b64673b85-sheet1-R6,2026-06-23,daegu-seo,생활환경과,한끼밥상,현안업무 추진 간담회,164000,6747c19b64673b85439b596e69bef42971f75e040b3264b54e2d320797057ba5,sheet1:R6,,,
6747c19b64673b85-sheet1-R7,2026-06-30,daegu-seo,생활환경과,삼원정자참가자미회,현안업무 추진 간담회,60000,6747c19b64673b85439b596e69bef42971f75e040b3264b54e2d320797057ba5,sheet1:R7,,,
6747c19b64673b85-sheet1-R8,2026-06-30,daegu-seo,생활환경과,퀸즈크라운베이커리,현안업무 추진 간담회,21200,6747c19b64673b85439b596e69bef42971f75e040b3264b54e2d320797057ba5,sheet1:R8,,,
6747c19b64673b85-sheet1-R9,2026-06-30,daegu-seo,생활환경과,한돈솥돼지,현안업무 추진 간담회,70600,6747c19b64673b85439b596e69bef42971f75e040b3264b54e2d320797057ba5,sheet1:R9,,,
6747c19b64673b85-sheet2-R3,2026-06-10,daegu-seo,생활환경과,퀸즈크라운 베이커리카페,직원 격려 간담회,55500,6747c19b64673b85439b596e69bef42971f75e040b3264b54e2d320797057ba5,sheet2:R3,,,
6747c19b64673b85-sheet2-R4,2026-06-10,daegu-seo,생활환경과,숨쉬는 순두부 평리점,직원 격려 간담회,119000,6747c19b64673b85439b596e69bef42971f75e040b3264b54e2d320797057ba5,sheet2:R4,,,
6747c19b64673b85-sheet2-R5,2026-06-09,daegu-seo,생활환경과,청담면옥,직원 격려 간담회,137000,6747c19b64673b85439b596e69bef42971f75e040b3264b54e2d320797057ba5,sheet2:R5,,,
6747c19b64673b85-sheet2-R6,2026-06-09,daegu-seo,생활환경과,퀸즈크라운 베이커리카페,직원 격려 간담회,52100,6747c19b64673b85439b596e69bef42971f75e040b3264b54e2d320797057ba5,sheet2:R6,,,
73b2818ac5883ce1-sheet1-R3,2026-05-28,daegu-seo,생활환경과,울릉샤브 서구청점,현안업무 추진 간담회,107400,73b2818ac5883ce1546b3791ec839c58e8c0031d29feb87074d86c3b172df97e,sheet1:R3,,,
73b2818ac5883ce1-sheet1-R4,2026-05-29,daegu-seo,생활환경과,장수메기매운탕,현안업무 추진 간담회,66000,73b2818ac5883ce1546b3791ec839c58e8c0031d29feb87074d86c3b172df97e,sheet1:R4,,,
6c1a4625d781e5d7-sheet1-R3,2026-06-17,daegu-seo,비산1동,어등,업무협의 간담회,125000,6c1a4625d781e5d716626367cf2acf5fca5d6b97b2fadb1b5a62251e27b0fecd,sheet1:R3,,,
6c1a4625d781e5d7-sheet1-R4,2026-06-17,daegu-seo,비산1동,투썸플레이스 대구 평리점,업무협의 간담회,23500,6c1a4625d781e5d716626367cf2acf5fca5d6b97b2fadb1b5a62251e27b0fecd,sheet1:R4,,,
eab8c4712379ace5-sheet2-R3,2026-06-19,daegu-seo,교통과,아지트,불법주정차단속 관련 업무 간담회 개최,430000,eab8c4712379ace5bab77022824b3a4029205d6cb45d438915dd331221cadd44,sheet2:R3,,,
eab8c4712379ace5-sheet2-R4,2026-06-24,daegu-seo,교통과,"홍이한우,홍이한우식당",어린이보호구역 교통안전 개선 관련 업무 간담회 개최,350000,eab8c4712379ace5bab77022824b3a4029205d6cb45d438915dd331221cadd44,sheet2:R4,,,
eab8c4712379ace5-sheet3-R3,2026-06-01,daegu-seo,교통과,트레이더스 비산점,부서 직원제공 차류 및 다과 구입,199760,eab8c4712379ace5bab77022824b3a4029205d6cb45d438915dd331221cadd44,sheet3:R3,,,
eab8c4712379ace5-sheet3-R4,2026-06-17,daegu-seo,교통과,케이(K)마트,부서 직원제공 차류 및 다과 구입,199600,eab8c4712379ace5bab77022824b3a4029205d6cb45d438915dd331221cadd44,sheet3:R4,,,
07f7dc1c12b8a951-sheet3-R3,2026-06-08,daegu-seo,세무과,청송약수삼계탕,상반기 구정주요업무 추진사항 점검을 위한 간담회 개최,100000,07f7dc1c12b8a95120139ab1f19774997506c26e4d918a9b7456240b8acefe49,sheet3:R3,,,
07f7dc1c12b8a951-sheet3-R4,2026-06-01,daegu-seo,세무과,평화김해뒷고기,개인지방소득세 신고 도움창구 운영 결과 및 개선방향 논의를 위한 간담회 개최,107600,07f7dc1c12b8a95120139ab1f19774997506c26e4d918a9b7456240b8acefe49,sheet3:R4,,,
07f7dc1c12b8a951-sheet4-R3,2026-06-29,daegu-seo,세무과,도로라커피(Dorora Coffee),장기교육 직원 격려를 위한 간담회 개최,33100,07f7dc1c12b8a95120139ab1f19774997506c26e4d918a9b7456240b8acefe49,sheet4:R3,,,
07f7dc1c12b8a951-sheet4-R4,2026-06-29,daegu-seo,세무과,돌섬,장기교육 직원 격려를 위한 간담회 개최,75000,07f7dc1c12b8a95120139ab1f19774997506c26e4d918a9b7456240b8acefe49,sheet4:R4,,,
07f7dc1c12b8a951-sheet4-R5,2026-06-18,daegu-seo,세무과,커피프리,민선9기 출범 업무보고 준비를 위한 간담회 개최비 지출,18500,07f7dc1c12b8a95120139ab1f19774997506c26e4d918a9b7456240b8acefe49,sheet4:R5,,,
07f7dc1c12b8a951-sheet4-R6,2026-06-18,daegu-seo,세무과,송정해물찜,민선9기 출범 업무보고 준비를 위한 간담회 개최비 지출,137000,07f7dc1c12b8a95120139ab1f19774997506c26e4d918a9b7456240b8acefe49,sheet4:R6,,,
78eef388fb547f13-sheet2-R3,2026-06-05,daegu-seo,보건행정과,부림식당,방역소독사업 관련 업무협의 간담회 실시,360000,78eef388fb547f132ea4b709ed4409c5ecba744ef4692eb3205abc6d8edb2132,sheet2:R3,,,
78eef388fb547f13-sheet2-R5,2026-06-24,daegu-seo,보건행정과,맛동산숯불갈비전문점,국가암관리사업 추진 간담회 실시,41800,78eef388fb547f132ea4b709ed4409c5ecba744ef4692eb3205abc6d8edb2132,sheet2:R5,,,
