record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
269d3e0db0c03db2-sheet1-R4,2026-01-05,daegu-suseong,구청장,방어진참가자미범어점(동대구로 279),2026년 구정운영방안 논의를 위한 간담회 개최,480000,269d3e0db0c03db2556f97aea47fd48cee91f3bfa45cfe61e27d05d7983a6e8f,sheet1:R4,,,
269d3e0db0c03db2-sheet1-R5,2026-01-06,daegu-suseong,구청장,대들보 돼지갈비 대구탕(지범로 276),현안업무 추진 직원 격려 간담회 개최,84000,269d3e0db0c03db2556f97aea47fd48cee91f3bfa45cfe61e27d05d7983a6e8f,sheet1:R5,,,
269d3e0db0c03db2-sheet1-R6,2026-01-07,daegu-suseong,구청장,와촌식당 두산점(무학로 154),민주평화통일협의회 운영 활성화를 위한 간담회 개최,290000,269d3e0db0c03db2556f97aea47fd48cee91f3bfa45cfe61e27d05d7983a6e8f,sheet1:R6,,,
269d3e0db0c03db2-sheet1-R7,2026-01-09,daegu-suseong,구청장,도도모(청수로 115),통합방위협의회 정기총회 현장지원 직원 격려,151000,269d3e0db0c03db2556f97aea47fd48cee91f3bfa45cfe61e27d05d7983a6e8f,sheet1:R7,,,
269d3e0db0c03db2-sheet1-R8,2026-01-12,daegu-suseong,구청장,연화37(동대구로 130),창의적인 구정홍보 방안 마련을 위한 간담회 개최,480000,269d3e0db0c03db2556f97aea47fd48cee91f3bfa45cfe61e27d05d7983a6e8f,sheet1:R8,,,
269d3e0db0c03db2-sheet1-R9,2026-01-14,daegu-suseong,구청장,온아한(달구벌대로504길 22),원할한 도서관 운영을 위한 간담회 개최,206000,269d3e0db0c03db2556f97aea47fd48cee91f3bfa45cfe61e27d05d7983a6e8f,sheet1:R9,,,
269d3e0db0c03db2-sheet1-R10,2026-01-16,daegu-suseong,구청장,정아칼치(들안로 102),살피소 운영실적 평가 최우수 격려 간담회 개최,336000,269d3e0db0c03db2556f97aea47fd48cee91f3bfa45cfe61e27d05d7983a6e8f,sheet1:R10,,,
269d3e0db0c03db2-sheet1-R11,2026-01-17,daegu-suseong,구청장,스타벅스 대구 두산DT점(지범로 37),국비확보 논의를 위한 조찬 간담회 개최,95600,269d3e0db0c03db2556f97aea47fd48cee91f3bfa45cfe61e27d05d7983a6e8f,sheet1:R11,,,
269d3e0db0c03db2-sheet1-R12,2026-01-19,daegu-suseong,구청장,동보성(달구벌대로 2486),아동보육 복지 정책 논의를 위한 간담회 개최,480000,269d3e0db0c03db2556f97aea47fd48cee91f3bfa45cfe61e27d05d7983a6e8f,sheet1:R12,,,
269d3e0db0c03db2-sheet1-R13,2026-01-20,daegu-suseong,구청장,편대장영화식당 대구범어점(동대구로 291),콘텐츠를 통한 구정홍보 방안에 대한 간담회 개최,195000,269d3e0db0c03db2556f97aea47fd48cee91f3bfa45cfe61e27d05d7983a6e8f,sheet1:R13,,,
