record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
3a75f5a5be2b2d09-table1-R2,2026-05-04,daejeon-daedeok,,개인(성명 비공개),직원 부의금,100000,3a75f5a5be2b2d0985ec85fa420712962fe2618f1418b7eeff724ce6c38bae8c,table1:R2,,,
3a75f5a5be2b2d09-table1-R3,2026-05-05,daejeon-daedeok,,예조은추어탕 (동구 송촌남로11번길 209),제104회 어린이날 기념행사 추진 등으로 노고가 많은 가족친화과 직원 등 격려,77400,3a75f5a5be2b2d0985ec85fa420712962fe2618f1418b7eeff724ce6c38bae8c,table1:R3,,,
52d12c2265e3fa31-table1-R2,2026-03-02,daejeon-daedeok,,콩마니손두부 (대덕구 동춘당로44번길 12),돌봄 대상자 발굴 및 개인별 맞춤형 돌봄서비스 연계 지원을 위한 관계자 간담회,43000,52d12c2265e3fa31e50e1dc4057d7c5df9ac31b9b4d85f66966e560f43a31eeb,table1:R2,,,
52d12c2265e3fa31-table1-R3,2026-03-03,daejeon-daedeok,,개인(성명 비공개),직원 부의금,100000,52d12c2265e3fa31e50e1dc4057d7c5df9ac31b9b4d85f66966e560f43a31eeb,table1:R3,53b038957eea04827c0f8518cfe8983bbb80643c178529d875024121eb4bcc1a:table1:R2,,
52d12c2265e3fa31-table1-R4,2026-03-03,daejeon-daedeok,,공주칼국수쭈꾸미 (대덕구 대전로1177번길 67),소나무재선충병 긴급방제사업 및 예방사업 추진 등으로 노고가 많은 공원녹지과 직원 등 격려,120000,52d12c2265e3fa31e50e1dc4057d7c5df9ac31b9b4d85f66966e560f43a31eeb,table1:R4,,,
52d12c2265e3fa31-table1-R5,2026-03-03,daejeon-daedeok,,SSG.COM(인터넷구매),유관기관 및 민원인 방문자에게 제공되는 차재료 등 구입,277516,52d12c2265e3fa31e50e1dc4057d7c5df9ac31b9b4d85f66966e560f43a31eeb,table1:R5,,,
52d12c2265e3fa31-table1-R6,2026-03-03,daejeon-daedeok,,맘스터치 대전법동점 (대덕구 중리북로 4 1층),관내 환경정화 추진 등으로 노고가 많은 환경관리요원 간식 격려(햄버거),793100,52d12c2265e3fa31e50e1dc4057d7c5df9ac31b9b4d85f66966e560f43a31eeb,table1:R6,,,
52d12c2265e3fa31-table1-R7,2026-03-03,daejeon-daedeok,,명품진한우 (대덕구 한밭대로1006번길 105),고향사랑기부제 활성화 방안 의견청취 관계자 간담회,243280,52d12c2265e3fa31e50e1dc4057d7c5df9ac31b9b4d85f66966e560f43a31eeb,table1:R7,,,
52d12c2265e3fa31-table1-R8,2026-03-04,daejeon-daedeok,,풍천장어식당 (대덕구 아리랑로 113),구청장 현장행정 업무 추진 등으로 노고가 많은 자치행정과 직원 등 격려,225000,52d12c2265e3fa31e50e1dc4057d7c5df9ac31b9b4d85f66966e560f43a31eeb,table1:R8,,,
52d12c2265e3fa31-table1-R9,2026-03-05,daejeon-daedeok,,푸짐한활어회본점 (대덕구 송촌남로56번길 1),대덕물빛축제 추진 상황 점검 등을 위한 관계자 간담회,235000,52d12c2265e3fa31e50e1dc4057d7c5df9ac31b9b4d85f66966e560f43a31eeb,table1:R9,,,
