record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
7f7ef59801f0eb71-sheet1-R7,2026-06-04,daejeon-jung,행정지원과,중구마루 (중구 중앙로 100),현안 사업 공유 및 상호 이해증진 도모를 위한 공무원 노동조합 오찬 간담회,42700,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R7,,,
7f7ef59801f0eb71-sheet1-R8,2026-06-04,daejeon-jung,행정지원과,미니일식 (중구 선화로 130),선거기간 직원 복무관리 및 간부공무원 의전 업무 추진 등 직원 노고 격려,228000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R8,,,
7f7ef59801f0eb71-sheet1-R9,2026-06-05,daejeon-jung,행정지원과,네이버쇼핑(전자상거래),내방객 및 집무실 운영물품 구입,246700,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R9,,,
7f7ef59801f0eb71-sheet1-R10,2026-06-05,daejeon-jung,행정지원과,두손개성만두 (중구 계룡로904번안길 38),간부공무원 일정관리 및 업무보고 검토 직원 격려 오찬,101000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R10,,,
7f7ef59801f0eb71-sheet1-R11,2026-06-06,daejeon-jung,행정지원과,산성골 (중구 대둔산로364번길 9),호국보훈의 달 맞이 현충일 보훈공원 참배 참석 직원 격려,605000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R11,,,
7f7ef59801f0eb71-sheet1-R12,2026-06-06,daejeon-jung,행정지원과,복수분식 (중구 중교로 27),제71회 현충일 추념식 참석 등 주말 의전 업무 수행 직원 격려 오찬,55000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R12,,,
7f7ef59801f0eb71-sheet1-R13,2026-06-09,daejeon-jung,행정지원과,예땅 (중구 부용로72번길 6),지역 장애인 시설 방문 등 직원 격려 차담회,45000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R13,,,
7f7ef59801f0eb71-sheet1-R14,2026-06-10,daejeon-jung,행정지원과,미니일식 (중구 선화로 130),제39주년 6·10민주항쟁 대전 기념식 및 문화제 추진 직원 격려 만찬,351000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R14,,,
7f7ef59801f0eb71-sheet1-R15,2026-06-11,daejeon-jung,행정지원과,내집식당 (중구 대흥로121번길 42),중구 지역문제 해결을 위한 AI 활용 정책개발 경진대회 추진 노고 격려,219000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R15,,,
7f7ef59801f0eb71-sheet1-R16,2026-06-12,daejeon-jung,행정지원과,경조사비,"위생과 시모상, 회계과 결혼, 공원녹지과 자혼",150000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R16,,,
7f7ef59801f0eb71-sheet1-R17,2026-06-12,daejeon-jung,행정지원과,풍미식당 (중구 대흥로 32),"구정 홍보 콘텐츠 기획·개발, 고충 민원 상담 처리 등으로 노고가 많은 직원들을 격려",323000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R17,,,
7f7ef59801f0eb71-sheet1-R18,2026-06-13,daejeon-jung,행정지원과,장다리식당 (충북 단양군 단양읍 삼봉로 370),"중구 새마을회 한마음 대회 참석 간부공무원 의전, 운전 수행 등 휴일 근무 직원 격려 오찬",100000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R18,,,
7f7ef59801f0eb71-sheet1-R19,2026-06-18,daejeon-jung,행정지원과,손의손 (중구 보문로260번길 26),공무원 노사 워크숍 참석 등 관외 의전 업무 수행 직원 격려 오찬,72000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R19,,,
7f7ef59801f0eb71-sheet1-R20,2026-06-19,daejeon-jung,행정지원과,대구왕뽈때기 (충북 청주시 청원구 오창읍 중심상업로 52-5),혁신탐방 벤치마킹 추진 및 중구 공무원 노사합동 워크숍 참석 등 관외 및 야간 의전 업무 수행 직원 노고 격려,27000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R20,,,
7f7ef59801f0eb71-sheet1-R21,2026-06-20,daejeon-jung,행정지원과,다올칼국수 (중구 보문산로293번길 7),"망향탑 건립 제36주년 기념식, 2026 중구 문화예술축제 참석 등 휴일 의전 업무 수행 직원 노고 격려 오찬",49000,7f7ef59801f0eb7174fd12de6b6ad742f97f3df571caca3d5f26bc42b5299e53,sheet1:R21,,,
