record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
625d72d99f8deb2a-file1.sheet1-R6,2026-06-15,daejeon-seo,운영지원과,소속 상근직원,경조사비,50000,625d72d99f8deb2a5b0eb508bd2c62a69d84e0c1089cd017608e3d258c91bf72,file1.sheet1:R6,,,
3ec94bcf19a7fc8b-file1.sheet1-R6,2026-04-03,daejeon-seo,운영지원과,소속 상근직원,경조사비,50000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R6,,,
3ec94bcf19a7fc8b-file1.sheet1-R7,2026-04-03,daejeon-seo,운영지원과,뚜레쥬르 월평선사점,"보건의날 기념, 서구 보건·복지 증진을 위해 힘쓰는 보건소 직원 노고 격려",367000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R7,,,
3ec94bcf19a7fc8b-file1.sheet1-R8,2026-04-08,daejeon-seo,운영지원과,소속 상근직원,경조사비,50000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R8,,,
3ec94bcf19a7fc8b-file1.sheet1-R9,2026-04-08,daejeon-seo,운영지원과,장애인협회,내방객 차재료 구입,300000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R9,,,
3ec94bcf19a7fc8b-file1.sheet1-R10,2026-04-10,daejeon-seo,운영지원과,초이s,"도서관의 날 기념, 서구 구민의 배움과 성장 지원에 힘쓰는 평생학습원 직원 노고 격려",252000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R10,,,
3ec94bcf19a7fc8b-file1.sheet1-R11,2026-04-13,daejeon-seo,운영지원과,소속 상근직원 등,경조사비,150000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R11,,,
3ec94bcf19a7fc8b-file1.sheet1-R12,2026-04-14,daejeon-seo,운영지원과,명가전복,정보공개 업무 추진 및 민원서비스 개선을 위해 노력하고 있는 부서 직원 격려,100000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R12,,,
3ec94bcf19a7fc8b-file1.sheet1-R13,2026-04-14,daejeon-seo,운영지원과,이지플라워,제23대 대전경찰청장 취임 축하화분 구입,100000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R13,,,
3ec94bcf19a7fc8b-file1.sheet1-R14,2026-04-23,daejeon-seo,운영지원과,소속 상근직원,경조사비,50000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R14,,,
3ec94bcf19a7fc8b-file1.sheet1-R20,2026-04-02,daejeon-seo,운영지원과,논산회관,대형건축공사장 일자리창출 업무협약을 위한 협조사항 논의 간담회,105000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R20,,,
3ec94bcf19a7fc8b-file1.sheet1-R21,2026-04-02,daejeon-seo,운영지원과,소나무풍경,퇴원환자 통합돌봄 연계 서비스 강화를 위한 시-의료기관 업무협약 중 자치구 협조사항 논의 간담회,200000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R21,,,
3ec94bcf19a7fc8b-file1.sheet1-R22,2026-04-06,daejeon-seo,운영지원과,라온차이나,노쇼(No-show) 사기 피해 예방 합동 캠페인 후 피해 해결방안 및 향후 캠페인 전개 계획 논의 간담회,244000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R22,,,
3ec94bcf19a7fc8b-file1.sheet1-R23,2026-04-13,daejeon-seo,운영지원과,미향일식,둔산지구 노후계획도시정비 시-구 간 행정지원 및 협조체계 구축을 위한 논의 간담회,210000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R23,,,
3ec94bcf19a7fc8b-file1.sheet1-R24,2026-04-13,daejeon-seo,운영지원과,오천항,위기아동 지원강화를 위한 3자 업무 협약 상세 추진방향 논의 간담회,350000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R24,,,
3ec94bcf19a7fc8b-file1.sheet1-R25,2026-04-15,daejeon-seo,운영지원과,천년의정원,건축물 해체공사감리자 선정업무 대행 업무협약 추진을 위한 관계자 간담회,439000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R25,,,
3ec94bcf19a7fc8b-file1.sheet1-R26,2026-04-16,daejeon-seo,운영지원과,너와집백합샤브샤브,대전성천초 학교복합시설 공모사업 심사 결과 및 사업내용 논의 간담회,98000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R26,,,
3ec94bcf19a7fc8b-file1.sheet1-R27,2026-04-17,daejeon-seo,운영지원과,미향일식,신재생 융복합지원사업 추진 계획 논의를 위한 참여기업 관계자 간담회,360000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R27,,,
3ec94bcf19a7fc8b-file1.sheet1-R28,2026-04-20,daejeon-seo,운영지원과,너와집백합샤브샤브,초원아파트 경로당 스마트승강장 준공식 관련 협조사항 논의 간담회,135000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R28,,,
3ec94bcf19a7fc8b-file1.sheet1-R29,2026-04-24,daejeon-seo,운영지원과,생태명가,환경교육계획수립 중간보고회 사전 논의를 위한 간담회,60000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R29,,,
3ec94bcf19a7fc8b-file1.sheet1-R30,2026-04-27,daejeon-seo,운영지원과,매드포갈릭,다함께돌봄센터 위수탁 및 무상사용 협약 체결을 위한 협력사항 논의 간담회,200000,3ec94bcf19a7fc8ba9dd83b5b54bc7cfee2812010ec6583faba8487e57f4241d,file1.sheet1:R30,,,
fee908c27d5968d3-file2.sheet1-R6,2026-03-03,daejeon-seo,운영지원과,성가일식,2026년 개학기 초등학교 주변 위해요인 안전점검 추진 분야별 담당직원 격려,280000,fee908c27d5968d3cdb1d260f8badb9ce9c64af97dfab9a6b44d0eb2fe9dc2d5,file2.sheet1:R6,,,
fee908c27d5968d3-file2.sheet1-R7,2026-03-05,daejeon-seo,운영지원과,인구에회자,탄방동 행정복지센터 기공식 준비를 위해 그간 고생해 온 관련 부서 직원 격려,124000,fee908c27d5968d3cdb1d260f8badb9ce9c64af97dfab9a6b44d0eb2fe9dc2d5,file2.sheet1:R7,,,
fee908c27d5968d3-file2.sheet1-R8,2026-03-05,daejeon-seo,운영지원과,"두담브레드&카페, 빽다방",미세먼지 비상저감조치 발령에 따른 긴급업무 수행으로 고생한 부서 직원 격려,162900,fee908c27d5968d3cdb1d260f8badb9ce9c64af97dfab9a6b44d0eb2fe9dc2d5,file2.sheet1:R8,,,
fee908c27d5968d3-file2.sheet1-R9,2026-03-06,daejeon-seo,운영지원과,행운손만두,민관협력 돌봄체계 활성화 사업 추진 돌봄대상자 발굴 및 서비스 지원 등 복지정책 확대에 노력하고 있는 부서 직원 격려,200000,fee908c27d5968d3cdb1d260f8badb9ce9c64af97dfab9a6b44d0eb2fe9dc2d5,file2.sheet1:R9,,,
fee908c27d5968d3-file2.sheet1-R10,2026-03-10,daejeon-seo,운영지원과,빈이어,"AI 디지털 배움터 거점센터' 구성 및 '사랑의 PC, 보급사업' 추진으로 고생하고 있는 부서 직원 격려",191520,fee908c27d5968d3cdb1d260f8badb9ce9c64af97dfab9a6b44d0eb2fe9dc2d5,file2.sheet1:R10,,,
fee908c27d5968d3-file2.sheet1-R11,2026-03-11,daejeon-seo,운영지원과,소속 상근직원 등,경조사비,250000,fee908c27d5968d3cdb1d260f8badb9ce9c64af97dfab9a6b44d0eb2fe9dc2d5,file2.sheet1:R11,,,
