record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
0d0a60bd5787cbb6-table1-R2,2026-04-01,daejeon-yuseong,운영지원과,개인(성명 비공개),직원 축의ㆍ부의금품 지급,50000,0d0a60bd5787cbb6ad1bb04769d5988ffdf9d69987e4f71811b7b2a120d44f87,table1:R2,,,
0d0a60bd5787cbb6-table1-R3,2026-04-01,daejeon-yuseong,운영지원과,쿠팡㈜,기관운영 물품구입,241970,0d0a60bd5787cbb6ad1bb04769d5988ffdf9d69987e4f71811b7b2a120d44f87,table1:R3,,,
0d0a60bd5787cbb6-table1-R4,2026-04-06,daejeon-yuseong,운영지원과,개인(성명 비공개),직원 축의ㆍ부의금품 지급,100000,0d0a60bd5787cbb6ad1bb04769d5988ffdf9d69987e4f71811b7b2a120d44f87,table1:R4,,,
0d0a60bd5787cbb6-table1-R5,2026-04-10,daejeon-yuseong,운영지원과,스타벅스코리아,내방객 제공 음료 재료 구입,162000,0d0a60bd5787cbb6ad1bb04769d5988ffdf9d69987e4f71811b7b2a120d44f87,table1:R5,,,
0d0a60bd5787cbb6-table1-R6,2026-04-13,daejeon-yuseong,운영지원과,동해참치,노사화합 및 현안공유를 위한 관계자 오찬 간담회,210000,0d0a60bd5787cbb6ad1bb04769d5988ffdf9d69987e4f71811b7b2a120d44f87,table1:R6,,,
0d0a60bd5787cbb6-table1-R7,2026-04-14,daejeon-yuseong,운영지원과,개인(성명 비공개),직원 축의ㆍ부의금품 지급,250000,0d0a60bd5787cbb6ad1bb04769d5988ffdf9d69987e4f71811b7b2a120d44f87,table1:R7,,,
0d0a60bd5787cbb6-table1-R8,2026-04-21,daejeon-yuseong,운영지원과,개인(성명 비공개),직원 축의ㆍ부의금품 지급,100000,0d0a60bd5787cbb6ad1bb04769d5988ffdf9d69987e4f71811b7b2a120d44f87,table1:R8,,,
0d0a60bd5787cbb6-table1-R9,2026-04-23,daejeon-yuseong,운영지원과,신가네해물칼국수,구정 업무추진 부서 격려 오찬,490000,0d0a60bd5787cbb6ad1bb04769d5988ffdf9d69987e4f71811b7b2a120d44f87,table1:R9,,,
0d0a60bd5787cbb6-table1-R10,2026-04-27,daejeon-yuseong,운영지원과,개인(성명 비공개),직원 축의ㆍ부의금품 지급,50000,0d0a60bd5787cbb6ad1bb04769d5988ffdf9d69987e4f71811b7b2a120d44f87,table1:R10,,,
768d11bddeb0b1fe-table1-R2,2026-03-04,daejeon-yuseong,운영지원과,개인(성명 비공개),직원 축의ㆍ부의금품 지급,150000,768d11bddeb0b1feb88ed7965fc17397887ab083b8e8996250d37e82c219e1ca,table1:R2,,,
