record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats
69198bbf4eec2e00-sheet1-R3,2026-04-08,gwangju-buk,두암2동,등촌,현장업무(취약지청소) 추진 직원 격려 오찬비,130000,69198bbf4eec2e00f8e578d9c066a399783cf2895120c1263d9aef97a094a8fe,sheet1:R3,
69198bbf4eec2e00-sheet1-R4,2026-04-16,gwangju-buk,두암2동,두암골설렁탕,당면업무추진 직원 격려 오찬비,95000,69198bbf4eec2e00f8e578d9c066a399783cf2895120c1263d9aef97a094a8fe,sheet1:R4,
69198bbf4eec2e00-sheet1-R5,2026-04-27,gwangju-buk,두암2동,두암정,현안업무(고유가 피해 지원금 지급) 추진 직원 격려 오찬비,60000,69198bbf4eec2e00f8e578d9c066a399783cf2895120c1263d9aef97a094a8fe,sheet1:R5,
69198bbf4eec2e00-sheet1-R6,2026-04-30,gwangju-buk,두암2동,두암 베스킨라빈스,현안업무(고유가 피해 지원금 지급) 추진 직원 격려 다과비,78000,69198bbf4eec2e00f8e578d9c066a399783cf2895120c1263d9aef97a094a8fe,sheet1:R6,
69198bbf4eec2e00-sheet1-R7,2026-05-15,gwangju-buk,두암2동,가족사랑,현안업무추진 직원 격려 오찬비,94000,69198bbf4eec2e00f8e578d9c066a399783cf2895120c1263d9aef97a094a8fe,sheet1:R7,
69198bbf4eec2e00-sheet1-R8,2026-05-22,gwangju-buk,두암2동,자담치킨 두암점,현안업무추진 직원 격려 간식비,50000,69198bbf4eec2e00f8e578d9c066a399783cf2895120c1263d9aef97a094a8fe,sheet1:R8,
69198bbf4eec2e00-sheet1-R9,2026-05-22,gwangju-buk,두암2동,큰김밥,현안업무추진 직원 격려 오찬비,200000,69198bbf4eec2e00f8e578d9c066a399783cf2895120c1263d9aef97a094a8fe,sheet1:R9,
69198bbf4eec2e00-sheet1-R10,2026-05-29,gwangju-buk,두암2동,고흥회타운 / 면앙로 174,현안업무추진 직원 격려 오찬비 및 음료비,40500,69198bbf4eec2e00f8e578d9c066a399783cf2895120c1263d9aef97a094a8fe,sheet1:R10,
69198bbf4eec2e00-sheet1-R11,2026-06-04,gwangju-buk,두암2동,신락원 두암점,선거사무 관련 종사 직원 격려 오찬비,117000,69198bbf4eec2e00f8e578d9c066a399783cf2895120c1263d9aef97a094a8fe,sheet1:R11,
69198bbf4eec2e00-sheet1-R12,2026-06-05,gwangju-buk,두암2동,고흥회타운,민원창구직원 격려 오찬비,65000,69198bbf4eec2e00f8e578d9c066a399783cf2895120c1263d9aef97a094a8fe,sheet1:R12,
