record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
b6933ae82902583b-sheet1-R3,2026-01-02,gwangju-dong,행정지원과,전라도맛집,서로의 안부 묻기 캠페인 추진 직원 노고 격려,126000,b6933ae82902583b9a86b8e783502ff1c91d1eeab3592128b96dda7d3b71c2a3,sheet1:R3,,,
b6933ae82902583b-sheet1-R4,2026-01-05,gwangju-dong,행정지원과,예향계절한정식,후원물품 전달 추진 직원 노고 격려,120000,b6933ae82902583b9a86b8e783502ff1c91d1eeab3592128b96dda7d3b71c2a3,sheet1:R4,,,
b6933ae82902583b-sheet1-R5,2026-01-06,gwangju-dong,행정지원과,송하,돌봄 통합지원협의체 추진 관계자 간담회,80000,b6933ae82902583b9a86b8e783502ff1c91d1eeab3592128b96dda7d3b71c2a3,sheet1:R5,,,
b6933ae82902583b-sheet1-R7,2026-01-07,gwangju-dong,행정지원과,전통순대국밥화담,기독교단협의회 신년하례회 추진 직원 노고 격려,30000,b6933ae82902583b9a86b8e783502ff1c91d1eeab3592128b96dda7d3b71c2a3,sheet1:R7,,,
b6933ae82902583b-sheet1-R9,2026-01-08,gwangju-dong,행정지원과,산수골,주요업무계획 보고 추진 직원 노고 격려,200000,b6933ae82902583b9a86b8e783502ff1c91d1eeab3592128b96dda7d3b71c2a3,sheet1:R9,,,
b6933ae82902583b-sheet1-R10,2026-01-13,gwangju-dong,행정지원과,청하,고향사랑기부금 추진 직원 노고 격려,120000,b6933ae82902583b9a86b8e783502ff1c91d1eeab3592128b96dda7d3b71c2a3,sheet1:R10,,,
b6933ae82902583b-sheet1-R11,2026-01-13,gwangju-dong,행정지원과,한우방 외 1,광주전남행정통합 추진 관계자 간담회,379200,b6933ae82902583b9a86b8e783502ff1c91d1eeab3592128b96dda7d3b71c2a3,sheet1:R11,,,
b6933ae82902583b-sheet1-R12,2026-01-14,gwangju-dong,행정지원과,글래드호텔 외 1,영호남 국가균형발전 공동선포식 관계자 간담회,234200,b6933ae82902583b9a86b8e783502ff1c91d1eeab3592128b96dda7d3b71c2a3,sheet1:R12,,,
b6933ae82902583b-sheet1-R13,2026-01-15,gwangju-dong,행정지원과,나주곰탕,부속실 현안업무추진 직원 노고 격려,45000,b6933ae82902583b9a86b8e783502ff1c91d1eeab3592128b96dda7d3b71c2a3,sheet1:R13,,,
b6933ae82902583b-sheet1-R14,2026-01-15,gwangju-dong,행정지원과,부저,희망우편함 전달식 추진 직원 노고 격려,203000,b6933ae82902583b9a86b8e783502ff1c91d1eeab3592128b96dda7d3b71c2a3,sheet1:R14,,,
