record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
64e35b8f12c06c84-sheet1-R5,2026-04-02,gwangju-gwangsan,시민소통과,화천추어탕 앙비떼,주민불편사항 해소를 위한 간담회 개최,62500,64e35b8f12c06c8463d8fa11abb06906b2cb1f7e3625154d1cd23c27b7dcffa3,sheet1:R5,,,
64e35b8f12c06c84-sheet1-R6,2026-04-17,gwangju-gwangsan,시민소통과,오동나무집,공공갈등 사전진단 추진을 위한 간담회 비용 집행,72000,64e35b8f12c06c8463d8fa11abb06906b2cb1f7e3625154d1cd23c27b7dcffa3,sheet1:R6,,,
64e35b8f12c06c84-sheet1-R7,2026-04-21,gwangju-gwangsan,시민소통과,오네스타,민원 전 민원해결 1004 추진 관련 간담회 비용 집행,66000,64e35b8f12c06c8463d8fa11abb06906b2cb1f7e3625154d1cd23c27b7dcffa3,sheet1:R7,,,
64e35b8f12c06c84-sheet1-R8,2026-05-27,gwangju-gwangsan,시민소통과,남광농원,민원처리·소통 확대 방안 이행 관련 간담회 비용 집행,198500,64e35b8f12c06c8463d8fa11abb06906b2cb1f7e3625154d1cd23c27b7dcffa3,sheet1:R8,,,
64e35b8f12c06c84-sheet1-R9,2026-06-02,gwangju-gwangsan,시민소통과,㈜해동활어,주민불편사항 해소를 위한 간담회 개최,105000,64e35b8f12c06c8463d8fa11abb06906b2cb1f7e3625154d1cd23c27b7dcffa3,sheet1:R9,,,
64e35b8f12c06c84-sheet1-R10,2026-06-11,gwangju-gwangsan,시민소통과,진미식당,주민불편사항 해소를 위한 간담회 개최,120000,64e35b8f12c06c8463d8fa11abb06906b2cb1f7e3625154d1cd23c27b7dcffa3,sheet1:R10,,,
64e35b8f12c06c84-sheet1-R11,2026-06-16,gwangju-gwangsan,시민소통과,오리한국별관수완점,공공갈등 관리 체계 운영을 위한 간담회 비용 집행,199000,64e35b8f12c06c8463d8fa11abb06906b2cb1f7e3625154d1cd23c27b7dcffa3,sheet1:R11,,,
64e35b8f12c06c84-sheet1-R12,2026-06-22,gwangju-gwangsan,시민소통과,화천추어탕,주민불편사항 해소를 위한 간담회 개최,84000,64e35b8f12c06c8463d8fa11abb06906b2cb1f7e3625154d1cd23c27b7dcffa3,sheet1:R12,,,
64e35b8f12c06c84-sheet1-R13,2026-06-23,gwangju-gwangsan,시민소통과,청민,주민불편사항 해소를 위한 간담회 개최,111000,64e35b8f12c06c8463d8fa11abb06906b2cb1f7e3625154d1cd23c27b7dcffa3,sheet1:R13,,,
554c5f088a14644d-sheet1-R4,2026-04-01,gwangju-gwangsan,문화예술과,카페 드나들다,문화예술 공모사업 추진 관련 간담회 추진,19000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R4,,,
554c5f088a14644d-sheet1-R5,2026-04-08,gwangju-gwangsan,문화예술과,라라브레드 송정점,노동예술제 홍보 방안 간담회 추진,60500,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R5,,,
554c5f088a14644d-sheet1-R6,2026-04-15,gwangju-gwangsan,문화예술과,라라브레드 송정점,노동예술제 세부추진 계획 수립 관련 간담회 추진,112500,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R6,,,
554c5f088a14644d-sheet1-R7,2026-04-16,gwangju-gwangsan,문화예술과,시골집추어탕소촌점,꿈의 오케스트라 운영 관련 간담회 추진,46000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R7,,,
554c5f088a14644d-sheet1-R8,2026-04-21,gwangju-gwangsan,문화예술과,스타벅스 코리아,광주예술로 공모사업 추진 관련 간담회 추진,56200,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R8,,,
554c5f088a14644d-sheet1-R9,2026-04-23,gwangju-gwangsan,문화예술과,(사) 실로암사람들(카페홀더광산구청점)외 2,문예회관 특성화 지원사업 관련 간담회 추진,245000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R9,,,
554c5f088a14644d-sheet1-R10,2026-04-24,gwangju-gwangsan,문화예술과,일곡신코다리,봉축탑 점등식 추진 관련 간담회 추진,31000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R10,,,
554c5f088a14644d-sheet1-R11,2026-04-28,gwangju-gwangsan,문화예술과,태화반점,공연예술 지역유통 지역사업 추진 관련 간담회 추진,76000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R11,,,
554c5f088a14644d-sheet1-R12,2026-04-29,gwangju-gwangsan,문화예술과,유일장어외 1,천동커뮤니티센터 5월 전시 관련 간담회 추진 (수정),63700,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R12,,,
554c5f088a14644d-sheet1-R13,2026-04-30,gwangju-gwangsan,문화예술과,라라브레드 송정점외 1,노동예술제 참여 노동자 모집 간담회 추진,40500,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R13,,,
554c5f088a14644d-sheet1-R14,2026-05-12,gwangju-gwangsan,문화예술과,송정골,천동 커뮤니티센터 5월 행사 추진 간담회 개최,72000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R14,,,
554c5f088a14644d-sheet1-R15,2026-05-13,gwangju-gwangsan,문화예술과,서해수산광주여대점,문예회관 특성화 지원사업 선정작 망월공연 추진 관련 간담회 추진,128000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R15,,,
554c5f088a14644d-sheet1-R16,2026-05-14,gwangju-gwangsan,문화예술과,전라도이야기,첨단둘레길 특화공간 탐방 간담회 추진,156000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R16,,,
554c5f088a14644d-sheet1-R17,2026-05-21,gwangju-gwangsan,문화예술과,시골집추어탕소촌점,부처님오신날 관내 사찰 법회 추진 관련 간담회 추진,46000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R17,,,
554c5f088a14644d-sheet1-R18,2026-05-29,gwangju-gwangsan,문화예술과,서울장수국수,광산구 기독교총회 추진 관련 간담회 추진,24000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R18,,,
554c5f088a14644d-sheet1-R19,2026-06-01,gwangju-gwangsan,문화예술과,시골밥집,하남동 청소년자율공간 수탁자 선정 관련 간담회 추진,60000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R19,,,
554c5f088a14644d-sheet1-R20,2026-06-02,gwangju-gwangsan,문화예술과,화천추어탕,소촌아트팩토리 6월 전시관련 직원 간담회 개최,36000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R20,,,
554c5f088a14644d-sheet1-R21,2026-06-05,gwangju-gwangsan,문화예술과,해물정,민선9기 추가 공약사업 발굴을 위한 간담회 추진,159000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R21,,,
554c5f088a14644d-sheet1-R22,2026-06-17,gwangju-gwangsan,문화예술과,향미림,영호남 친선음악회 추진 관련 간담회 추진,50000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R22,,,
554c5f088a14644d-sheet1-R23,2026-06-24,gwangju-gwangsan,문화예술과,라라브레드 송정점,문화예술과 당면 업무 추진 관련 간담회 추진,139000,554c5f088a14644d806ce7af5ac107cc98a684aa4dad936b2e84b7d837de3223,sheet1:R23,,,
7bb54590bc8e1bc8-sheet1-R5,2026-04-07,gwangju-gwangsan,문화예술과,서울장수국수,전남광주통합 출범 대응 관련 간담회 개최,59000,7bb54590bc8e1bc8e1627de9ba4aa1cad6536c1d26ea0ec5c0980dbaf5f4571b,sheet1:R5,,,
7bb54590bc8e1bc8-sheet1-R6,2026-04-20,gwangju-gwangsan,문화예술과,어부네회수산,학교복합시설 공모사업 추진 관련 간담회 개최,58000,7bb54590bc8e1bc8e1627de9ba4aa1cad6536c1d26ea0ec5c0980dbaf5f4571b,sheet1:R6,,,
7bb54590bc8e1bc8-sheet1-R7,2026-04-28,gwangju-gwangsan,문화예술과,정명관,직영체육시설 운영 직원 간담회 개최,75000,7bb54590bc8e1bc8e1627de9ba4aa1cad6536c1d26ea0ec5c0980dbaf5f4571b,sheet1:R7,,,
7bb54590bc8e1bc8-sheet1-R8,2026-04-29,gwangju-gwangsan,문화예술과,라라브레드 송정점,소관 다중이용시설 집중안전점검 추진 관련 직원 간담회 개최,104500,7bb54590bc8e1bc8e1627de9ba4aa1cad6536c1d26ea0ec5c0980dbaf5f4571b,sheet1:R8,,,
7bb54590bc8e1bc8-sheet1-R9,2026-04-30,gwangju-gwangsan,문화예술과,무한지대,예산 결산감사 직원 노고 격려,26000,7bb54590bc8e1bc8e1627de9ba4aa1cad6536c1d26ea0ec5c0980dbaf5f4571b,sheet1:R9,,,
7bb54590bc8e1bc8-sheet1-R10,2026-05-06,gwangju-gwangsan,문화예술과,수초밥참치,봉축탑 설치 운영 직원 간담회 개최,48000,7bb54590bc8e1bc8e1627de9ba4aa1cad6536c1d26ea0ec5c0980dbaf5f4571b,sheet1:R10,,,
7bb54590bc8e1bc8-sheet1-R11,2026-05-13,gwangju-gwangsan,문화예술과,달보드레한,파크골프장 운영 관련 간담회 개최,78500,7bb54590bc8e1bc8e1627de9ba4aa1cad6536c1d26ea0ec5c0980dbaf5f4571b,sheet1:R11,,,
