record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats
bd4552b8828e4478-sheet1-R3,2026-04-08,gwangju-nam,총무과,곰지네,부속실 운영 지원 등 업무 추진 직원 격려,33000,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R3,
bd4552b8828e4478-sheet1-R4,2026-04-09,gwangju-nam,총무과,진부령황태고을,남북교류협력사업 업무 추진 직원 격려,30000,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R4,
bd4552b8828e4478-sheet1-R5,2026-04-15,gwangju-nam,총무과,개인(성명 비공개),직원 축부의에 따른 경조사비 지급,50000,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R5,
bd4552b8828e4478-sheet1-R6,2026-04-20,gwangju-nam,총무과,더건강한산수옥모일,부속실 운영 지원 등 업무 추진 직원 격려,22000,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R6,
bd4552b8828e4478-sheet1-R7,2026-05-06,gwangju-nam,총무과,카페아짐,주민자치 활성화 등 업무 추진 직원 격려,23000,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R7,
bd4552b8828e4478-sheet1-R8,2026-05-14,gwangju-nam,총무과,개인(성명 비공개),직원 축부의에 따른 경조사비 지급,50000,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R8,
bd4552b8828e4478-sheet1-R9,2026-05-14,gwangju-nam,총무과,카페리움,근무성적평정 등 업무 추진 직원 격려,21500,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R9,
bd4552b8828e4478-sheet1-R10,2026-05-15,gwangju-nam,총무과,헤이키커피,직원 후생복지 등 업무 추진 직원 격려,8500,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R10,
bd4552b8828e4478-sheet1-R11,2026-05-21,gwangju-nam,총무과,곰지네,부속실 운영 지원 등 업무 추진 직원 격려,37000,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R11,
bd4552b8828e4478-sheet1-R12,2026-05-27,gwangju-nam,총무과,하루의편지,공교육 시책 등 업무 추진 직원 격려,17500,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R12,
bd4552b8828e4478-sheet1-R13,2026-05-28,gwangju-nam,총무과,이선희낙지마당,부속실 운영 지원 등 업무 추진 직원 격려,30000,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R13,
bd4552b8828e4478-sheet1-R14,2026-05-29,gwangju-nam,총무과,바우어,평생학습도시사업 등 업무 추진 직원 격려,10800,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R14,
bd4552b8828e4478-sheet1-R15,2026-06-15,gwangju-nam,총무과,더건강한산수옥모일,부속실 운영 지원 등 업무 추진 직원 격려,25000,bd4552b8828e44784dcb46b23a172420b31f88afdd1f4d3ebc8dca78e73e8c26,sheet1:R15,
