record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats
86282a1331930b30-sheet1-R2,2026-01-02,gwangju-seo,주민자치과,서구청구내식당,신년맞이 직원 격려 오찬,1220000,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R2,
86282a1331930b30-sheet1-R3,2026-01-05,gwangju-seo,주민자치과,신청담한우,시무식 준비 등 직원 노고 격려 간담회,215000,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R3,
86282a1331930b30-sheet1-R4,2026-01-08,gwangju-seo,주민자치과,동진계절음식점,2026년 주요업무게획 보고회 추진 직원 노고 격려 간담회,230000,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R4,
86282a1331930b30-sheet1-R5,2026-01-14,gwangju-seo,주민자치과,한국의밥상,영·호남 간 상생협력 및 정책연대를 위한 관계자 오찬 간담회,480000,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R5,
86282a1331930b30-sheet1-R6,2026-01-15,gwangju-seo,주민자치과,주식회사 창억,교류 증진을 위한 중국총영사관 방문에 따른 선물 구입,71000,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R6,
86282a1331930b30-sheet1-R7,2026-01-16,gwangju-seo,주민자치과,동진계절음식점 카페히어로즈,서구의회 임시회 준비 등 직원 노고 격려 간담회,423000,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R7,
86282a1331930b30-sheet1-R8,2026-01-22,gwangju-seo,주민자치과,신청담한우 오인절미브런치카페,통합건강센터 운영 등 직원 노고 격려 오찬 간담회,260900,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R8,
86282a1331930b30-sheet1-R9,2026-01-23,gwangju-seo,주민자치과,이헌한우두번째이야기,문화예술업무 전반 추진 직원 노고 격려 오찬 간담회,436000,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R9,
86282a1331930b30-sheet1-R10,2026-01-23,gwangju-seo,주민자치과,신청담한우,어린이 공원 조성 등 직원 노고 격려 간담회,428000,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R10,
86282a1331930b30-sheet1-R11,2026-01-27,gwangju-seo,주민자치과,ACC회참치,바로문자하랑께 민원처리 등 직원 노고 격려 오찬간담회,338500,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R11,
86282a1331930b30-sheet1-R12,2026-02-03,gwangju-seo,주민자치과,개인(성명 비공개),소속직원 애경사에 따른 축조의금 지급,300000,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R12,
86282a1331930b30-sheet1-R13,2026-02-04,gwangju-seo,주민자치과,가매,주민자치 업무 추진 직원 노고 격려 오찬간담회,253000,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R13,
86282a1331930b30-sheet1-R14,2026-02-12,gwangju-seo,주민자치과,풍암동두번째집 페르베하우스,행정지원과 직원 우호교류 준비 등 노고 격려 간담회,345700,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R14,
86282a1331930b30-sheet1-R15,2026-02-13,gwangju-seo,주민자치과,신청담한우 오인절미브런치,신중년일자리센터 조성 등 업무 추진 직원노고 격려 간담회,230500,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R15,
86282a1331930b30-sheet1-R16,2026-02-13,gwangju-seo,주민자치과,동진계절음식점,2026년 구정방향 논의를 위한 간부공무원 등 만찬 간담회,712000,86282a1331930b3043eabf76827d86b8c93b393982b44cf7b0d389061a109920,sheet1:R16,
