record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
96335334d7d97e66-table1-R2,2026-04-09,ulsan-bukgu,안전총괄과,혜영갈비,민방위교육 관련 간담회 개최에 따른 식사 제공,390000,96335334d7d97e66a377d1f462660a56d2cb6e0ba284fe921939912609149e70,table1:R2,,,
96335334d7d97e66-table1-R3,2026-04-10,ulsan-bukgu,안전총괄과,혜영갈비,사회재난관련 유관기관 간담회 개최에 따른 식사 제공,425000,96335334d7d97e66a377d1f462660a56d2cb6e0ba284fe921939912609149e70,table1:R3,,,
96335334d7d97e66-table1-R4,2026-04-16,ulsan-bukgu,안전총괄과,다드림사업단,사회복무요원 관련 병무청 간담회 다과 구입,28500,96335334d7d97e66a377d1f462660a56d2cb6e0ba284fe921939912609149e70,table1:R4,,,
96335334d7d97e66-table1-R5,2026-06-08,ulsan-bukgu,안전총괄과,한우축산유통,여름철 자연재난 대비 간담회 개최에 따른 식사 제공,138000,96335334d7d97e66a377d1f462660a56d2cb6e0ba284fe921939912609149e70,table1:R5,,,
96335334d7d97e66-table1-R6,2026-06-19,ulsan-bukgu,안전총괄과,해운대횟집,어린이놀이시설 안전점검 관련 업무 간담회 개최에 따른 식사 제공,100000,96335334d7d97e66a377d1f462660a56d2cb6e0ba284fe921939912609149e70,table1:R6,,,
2b3b369e15e84e3e-table1-R2,2026-04-02,ulsan-bukgu,안전총괄과,-,직원 경조사비 지급,50000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R2,,,
2b3b369e15e84e3e-table1-R3,2026-04-02,ulsan-bukgu,안전총괄과,동해아구탕,현안업무 추진 직원 격려 식사 제공,160000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R3,,,
2b3b369e15e84e3e-table1-R4,2026-04-06,ulsan-bukgu,안전총괄과,담소원,현안업무 추진 직원 격려 식사 제공,150000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R4,,,
2b3b369e15e84e3e-table1-R5,2026-04-07,ulsan-bukgu,안전총괄과,동하물회,현안업무 추진 직원 격려 식사 제공,126000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R5,,,
2b3b369e15e84e3e-table1-R6,2026-04-13,ulsan-bukgu,안전총괄과,-,직원 경조사비 지급,5000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R6,,,
2b3b369e15e84e3e-table1-R7,2026-04-22,ulsan-bukgu,안전총괄과,-,직원 경조사비 지급,50000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R7,,,
2b3b369e15e84e3e-table1-R8,2026-04-24,ulsan-bukgu,안전총괄과,강원도해장국,여름철 자연재난 대응 직원 격려 식사 제공,118000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R8,,,
2b3b369e15e84e3e-table1-R9,2026-05-06,ulsan-bukgu,안전총괄과,-,직원 경조사비 지급,50000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R9,,,
2b3b369e15e84e3e-table1-R10,2026-05-06,ulsan-bukgu,안전총괄과,-,직원 경조사비 지급,50000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R10,,,
2b3b369e15e84e3e-table1-R11,2026-05-18,ulsan-bukgu,안전총괄과,-,직원 경조사비 지급,50000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R11,,,
2b3b369e15e84e3e-table1-R12,2026-05-19,ulsan-bukgu,안전총괄과,쿠팡,국장님실 운영 다과 구입,97570,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R12,,,
2b3b369e15e84e3e-table1-R13,2026-05-21,ulsan-bukgu,안전총괄과,상안가든,현안업무 추진 직원 격려 식사 제공,174000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R13,,,
2b3b369e15e84e3e-table1-R14,2026-05-26,ulsan-bukgu,안전총괄과,-,직원 경조사비 지급,50000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table1:R14,,,
2b3b369e15e84e3e-table2-R2,2026-06-02,ulsan-bukgu,안전총괄과,-,직원 경조사비 지급,50000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table2:R2,,,
2b3b369e15e84e3e-table2-R3,2026-06-04,ulsan-bukgu,안전총괄과,쿠팡,국장님실 운영 다과 구입,18400,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table2:R3,,,
2b3b369e15e84e3e-table2-R4,2026-06-05,ulsan-bukgu,안전총괄과,-,직원 경조사비 지급,50000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table2:R4,,,
2b3b369e15e84e3e-table2-R5,2026-06-18,ulsan-bukgu,안전총괄과,떡만드는앙드레 1호점,신규공무원 시보해제 격려품 구임,60000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table2:R5,,,
2b3b369e15e84e3e-table2-R6,2026-06-19,ulsan-bukgu,안전총괄과,정우식당,현안업무 추진 직원 격려 식사 제공,75000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table2:R6,,,
2b3b369e15e84e3e-table3-R2,2026-04-22,ulsan-bukgu,안전총괄과,고래온,여름철 자연재난 대비 관련 병무청 간담회 개최에 따른 식사 제공,120000,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table3:R2,,,
2b3b369e15e84e3e-table3-R3,2026-04-23,ulsan-bukgu,안전총괄과,덕수궁외1,집중안전점검 추진 관련 간담회 개최에 따른 식사 제공,198560,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table3:R3,,,
2b3b369e15e84e3e-table3-R4,2026-04-29,ulsan-bukgu,안전총괄과,울산회시장,예비군지역대 관계자 간담회 개최에 따른 식사 제공,243900,2b3b369e15e84e3e3d1111bb83b5b4f8bc0c056a63d9a614ccaa45e2421cdc05,table3:R4,,,
