record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
1f8aea6bd952b92b-table1-R2,2026-01-30,ulsan-donggu,,산내암소마을,시장 상권 활성화를 위한 업무 협의,480000,1f8aea6bd952b92ba089224c8d823658f0f330724b031534ed3ab2216b66214a,table1:R2,,,
2f808eb14bfae048-table1-R2,2026-01-29,ulsan-donggu,,영천한우마을,돌봄 서비스 사업 추진 활성화를 위한 업무협의,477000,2f808eb14bfae04829ed9eea02de94aaf65235f85b28e375b2cb81d97b0deeba,table1:R2,,,
404cf095c6e628a2-table1-R2,2026-01-27,ulsan-donggu,,금상첨화,도시재생사업 추진 관련 업무 협의,296000,404cf095c6e628a2e8de84ef698a84e16907662130507af53370c969b86a381d,table1:R2,,,
404cf095c6e628a2-table1-R3,2026-01-27,ulsan-donggu,,금상첨화,노정 상생발전을 위한 업무 협의,403000,404cf095c6e628a2e8de84ef698a84e16907662130507af53370c969b86a381d,table1:R3,,,
5e55c4736f1b1b86-table1-R2,2026-01-26,ulsan-donggu,,영남,노동자지원센터 이용 활성화 업무협의 및 직원 격려,185000,5e55c4736f1b1b869fd6f2dfea1e4185e92743088f40be9ae9eaec8417de46a9,table1:R2,,,
97b9b54cfd06ac58-table1-R2,2026-01-25,ulsan-donggu,,영남,생활체육 업무추진 노고 격려,150000,97b9b54cfd06ac58b4f6aedb89ca6f439b530a6c64e1b20bf111be56d5ac02f5,table1:R2,,,
c05ed5037854a0c7-table1-R2,2026-01-24,ulsan-donggu,,코다리마을,산불예방 및 재난예방 업무 추진 노고 격려,78000,c05ed5037854a0c7fec95508ef0268a91329219e2e8553e87379ee9f2848a3c1,table1:R2,,,
b11d297f467fc19f-table1-R2,2026-01-22,ulsan-donggu,,슬도향,전통시장 활성화를 위한 업무협의,79000,b11d297f467fc19f8db7c30eac4327f8201dee21b3cbb80c93bf7eb4c38e3a46,table1:R2,,,
b11d297f467fc19f-table1-R3,2026-01-22,ulsan-donggu,,금상첨화,노사 상생 및 협력을 위한 업무협의,400000,b11d297f467fc19f8db7c30eac4327f8201dee21b3cbb80c93bf7eb4c38e3a46,table1:R3,,,
5218ea5686d2c3c6-table1-R2,2026-01-21,ulsan-donggu,,우리동네봉화댁,교육프로그램 개발을 위한 업무협의 및 직원격려,149500,5218ea5686d2c3c6428feaeed6d67472fda2249d105cc83e5414f7756fcadc84,table1:R2,,,
5218ea5686d2c3c6-table1-R3,2026-01-21,ulsan-donggu,,섬뜰,일자리사업 발굴 관련 업무협의 및 직원 격려,80000,5218ea5686d2c3c6428feaeed6d67472fda2249d105cc83e5414f7756fcadc84,table1:R3,,,
6c3344c43ee3f63f-table1-R2,2026-01-20,ulsan-donggu,,개인(성명 비공개),축의금,50000,6c3344c43ee3f63f88467cab72d3f8442ee150bf757eef78a0976e19f0b89a9f,table1:R2,,,
6c3344c43ee3f63f-table1-R3,2026-01-20,ulsan-donggu,,개인(성명 비공개),축의금,50000,6c3344c43ee3f63f88467cab72d3f8442ee150bf757eef78a0976e19f0b89a9f,table1:R3,,,
6c3344c43ee3f63f-table1-R4,2026-01-20,ulsan-donggu,,한가득뚝배기,지역 교육사업 운영 활성화 업무 협의,45000,6c3344c43ee3f63f88467cab72d3f8442ee150bf757eef78a0976e19f0b89a9f,table1:R4,,,
2d019d6f1e617cd9-table1-R2,2026-01-19,ulsan-donggu,,돈고짚,지역경제 활성화를 위한 업무 협의,244000,2d019d6f1e617cd93497b72c17bf8e305718fc2df905b735eb809080206b0061,table1:R2,,,
4d25ea464a8c49eb-table1-R2,2026-01-15,ulsan-donggu,,진주횟집,주민자치 활성화를 위한 업무 협의,480000,4d25ea464a8c49eb367dacff9362c3d54cc6949e1c4943fc0098afbb6d650ee4,table1:R2,,,
7b34df63bb884d57-table1-R2,2026-01-14,ulsan-donggu,,대한적십자사 울산광역지사,2026년도 적십자 특별회비 납부,3000000,7b34df63bb884d57da522fea35502bcb15279984aa7d8e9ec4d00a4b728d9441,table1:R2,,,
c0341088c18f5f4d-table1-R2,2026-01-13,ulsan-donggu,,영남,교통약자 이동편의 개선을 위한 업무 협의,270000,c0341088c18f5f4da0dbfeb5a0b2632a65b69697fbe6bb1c35fb13e10553f9e7,table1:R2,,,
8ee743313ff315ed-table1-R2,2026-01-12,ulsan-donggu,,영남,자치행정과 당면업무 논의 및 직원 노고 격려,118000,8ee743313ff315ed46542dfad30640a38f74498e856ee9d5c77034a771629c73,table1:R2,,,
a5f593ebe5931064-table1-R2,2026-01-09,ulsan-donggu,,대관령가든,부속실 당면현안 논의 및 직원 격려,126000,a5f593ebe593106468f69f843bd3efa35b7cabb21ede1b3fc889168b58c9e023,table1:R2,,,
a5f593ebe5931064-table1-R3,2026-01-09,ulsan-donggu,,조방돼지국밥,생활폐기물 수거 현장체험 및 간담회 직원 노고 격려,112000,a5f593ebe593106468f69f843bd3efa35b7cabb21ede1b3fc889168b58c9e023,table1:R3,,,
b0edc9fc063dc02e-table1-R2,2026-01-07,ulsan-donggu,,개인(성명 비공개),조의금,50000,b0edc9fc063dc02ed7487fc447cdb57dde983aaf5aaa350863acea5b3c20d4a1,table1:R2,,,
b0edc9fc063dc02e-table1-R3,2026-01-07,ulsan-donggu,,개인(성명 비공개),축의금,50000,b0edc9fc063dc02ed7487fc447cdb57dde983aaf5aaa350863acea5b3c20d4a1,table1:R3,,,
b0edc9fc063dc02e-table1-R4,2026-01-07,ulsan-donggu,,개인(성명 비공개),축의금,50000,b0edc9fc063dc02ed7487fc447cdb57dde983aaf5aaa350863acea5b3c20d4a1,table1:R4,,,
b69842e6a7d498c8-table1-R2,2026-01-06,ulsan-donggu,,대관령가든,재난안전 자원봉사네트워크 강화 관련 해병전우회 간담회 개최,480000,b69842e6a7d498c8dd503bac06ed5ca74dcdcb43f414d9694fa9ec69c4d89d4e,table1:R2,,,
a6fa6b1f67929193-table1-R2,2026-01-05,ulsan-donggu,,돈고짚,도시과 주요사업 논의 및 직원 격려,300000,a6fa6b1f679291931987895d786257b2a971c7440d20bf9b4f0dc49060736d43,table1:R2,,,
981b89e4a2190362-table1-R2,2026-02-10,ulsan-donggu,,만파식적,부속실 직원 업무추진 노고격려,224000,981b89e4a21903621b22d8e008b83a313e38f7667fff2f03a51656e8a06710ae,table1:R2,,,
9cf031f2a28c2e6a-table1-R2,2026-02-06,ulsan-donggu,,영천한우마을,기업과의 상생발전 및 협력 관련 업무협의,420000,9cf031f2a28c2e6ad0bb5845c32053a26dcb0e91d1de4f69122fefd1a7dd21e9,table1:R2,,,
9cf031f2a28c2e6a-table1-R3,2026-02-06,ulsan-donggu,,태종청과,내방객 제공 다과 구입,289000,9cf031f2a28c2e6ad0bb5845c32053a26dcb0e91d1de4f69122fefd1a7dd21e9,table1:R3,,,
cf820f102247f8df-table1-R2,2026-02-05,ulsan-donggu,,섬뜰,문화체육과 당면업무 협의 및 직원 격려,160000,cf820f102247f8df8721fc6a9fd335ef1b24a399615d6abb1fe53e42a62527fd,table1:R2,,,
cf820f102247f8df-table1-R3,2026-02-05,ulsan-donggu,,산내암소마을,연휴 대비 종합대책 관련 업무협의 및 직원격려,359000,cf820f102247f8df8721fc6a9fd335ef1b24a399615d6abb1fe53e42a62527fd,table1:R3,,,
9cc724f41db4fe1f-table1-R2,2026-02-04,ulsan-donggu,,슬도향,구정 주요사업 예산확보를 위한 업무 협의,389000,9cc724f41db4fe1f6422e7b29049a46e4c4d39d67a9e271f16f11df50b61e777,table1:R2,,,
f9dcc7d6720d9baf-table1-R2,2026-02-03,ulsan-donggu,,산내암소마을,지역사회 복지증진과 발전을 위한 업무 협의,480000,f9dcc7d6720d9baf27a8e82990d052c29269ccdbde9081e66102f0d1689c7877,table1:R2,,,
