record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
ec35fc2fa0785e5f-table1-R2,2026-06-30,ulsan-junggu,,등대갈비,여름철 자연재난 대비 안전감찰 준비 노고 격려,176800,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R2,,,
ec35fc2fa0785e5f-table1-R3,2026-06-30,ulsan-junggu,,뱀부하우스 외 1,중구보훈단체협의회 간담회,521400,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R3,,,
ec35fc2fa0785e5f-table1-R4,2026-06-29,ulsan-junggu,,태화정식당 외 1,퇴직자 공로패 및 감사패 수여식 개최 노고 격려,168900,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R4,,,
ec35fc2fa0785e5f-table1-R5,2026-06-29,ulsan-junggu,,개인(성명 비공개),부의금 지급,50000,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R5,,,
ec35fc2fa0785e5f-table1-R6,2026-06-28,ulsan-junggu,,솔밭가든,사랑의봉사회 어르신 짜장면 나눔 행사 개최 지원 노고 격려,240000,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R6,,,
ec35fc2fa0785e5f-table1-R7,2026-06-25,ulsan-junggu,,개인(성명 비공개),부의금 지급,50000,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R7,,,
ec35fc2fa0785e5f-table1-R8,2026-06-24,ulsan-junggu,,오사카멘치 유곡혁신점,태화생활복합센터 건립 건축기획용역 추진 노고 격려,246000,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R8,,,
ec35fc2fa0785e5f-table1-R9,2026-06-24,ulsan-junggu,,뱀부하우스 외 1,정년퇴직자 및 퇴직준비교육 대상자 노고 격려,472600,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R9,,,
ec35fc2fa0785e5f-table1-R10,2026-06-21,ulsan-junggu,,평화쌈밥,2026태화강마두희축제 추진 노고 격려,1153000,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R10,,,
ec35fc2fa0785e5f-table1-R11,2026-06-21,ulsan-junggu,,숨,단오맞이 한마당 개최 노고 격려,61500,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R11,,,
ec35fc2fa0785e5f-table1-R12,2026-06-21,ulsan-junggu,,다락커피,축제 교통지원 등 현장 지원 노고 격려,31500,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R12,,,
ec35fc2fa0785e5f-table1-R13,2026-06-20,ulsan-junggu,,솔티라이엇,제13회 전국소리경연대회 개최 노고 격려,46000,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R13,,,
ec35fc2fa0785e5f-table1-R14,2026-06-20,ulsan-junggu,,카페로드 79,마두희 큰줄당기기 프로그램 운영 노고 격려,22500,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R14,,,
ec35fc2fa0785e5f-table1-R15,2026-06-19,ulsan-junggu,,라이스베이커리,골목줄당기기 연합뉴스 촬영 지원 노고 격려,121000,ec35fc2fa0785e5fcb9a78165663a8b80f5e20d86504055fe260cee70deee966,table1:R15,,,
