record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
06b5058d8cec3311-table1-R3,2026-06-01,ulsan-ulju,,대복,울주병원 관련 논의를 위한 관계자 만찬 간담회 개최 경비 지급,480000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R3,,,
06b5058d8cec3311-table1-R4,2026-06-02,ulsan-ulju,,동경,군정 홍보 방안 논의를 위한 언론 관계자 만찬 간담회 개최 경비 지급,210000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R4,,,
06b5058d8cec3311-table1-R5,2026-06-04,ulsan-ulju,,이주백참치,아동친화도시 조성 업무 추진을 위한 관계자 만찬 간담회 개최 경비 지급,340000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R5,,,
06b5058d8cec3311-table1-R6,2026-06-05,ulsan-ulju,,미진돌곱창,지역경제활성화 방안 마련을 위한 관계 직원 만찬 간담회 개최 경비 지급,155000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R6,,,
06b5058d8cec3311-table1-R7,2026-06-08,ulsan-ulju,,소월당,부군수실 내방객 간식 구입,190000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R7,,,
06b5058d8cec3311-table1-R8,2026-06-08,ulsan-ulju,,언양불고기,고독사 위기가구 관련 사업 논의를 위한 관계 직원 만찬 간담회 개최 경비 지급,261000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R8,,,
06b5058d8cec3311-table1-R9,2026-06-09,ulsan-ulju,,정답해신삼계탕,군정 홍보 방안 논의를 위한 언론 관계자 오찬 간담회 개최 경비 지급,160000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R9,,,
06b5058d8cec3311-table1-R10,2026-06-10,ulsan-ulju,,개인(성명 비공개),축의·부의금 지출[도시과 ],50000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R10,,,
06b5058d8cec3311-table1-R11,2026-06-10,ulsan-ulju,,소월당,문화관광국 직원 격려용 간식 구매,588000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R11,,,
06b5058d8cec3311-table1-R12,2026-06-11,ulsan-ulju,,이한 등,공원 물놀이장 안전사고 대비 관련 관계자 오찬 간담회 및 차담회 개최 경비 지급,114000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R12,,,
06b5058d8cec3311-table1-R13,2026-06-12,ulsan-ulju,,아지네후,현수막 철거 등 현장 정비 업무 추진 관계자 만찬 간담회 개최 경비 지급,457000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R13,,,
06b5058d8cec3311-table1-R14,2026-06-16,ulsan-ulju,,탑거리,농업분야 정책 협의를 위한 관계자 오찬 간담회 개최 경비 지급,200000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R14,,,
06b5058d8cec3311-table1-R15,2026-06-17,ulsan-ulju,,개인(성명 비공개),축의·부의금 지출[주택과 ],50000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R15,,,
06b5058d8cec3311-table1-R16,2026-06-18,ulsan-ulju,,천서방숯불고기,안전 점검 관련 논의를 위한 관계 직원 만찬 간담회 개최 경비 지급,400000,06b5058d8cec33119b01bce197e8655ea1df0741371c2533f5831448eb65b71e,table1:R16,,,
