record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
a1de5fc0704fe07a-table1-R2,2026-06-30,ulsan-namgu,감사관,도소가,2026년 제2차 옴부즈만 정기회의 개최에 따른 오찬 제공,135000,a1de5fc0704fe07ac177dc39a310095e4f8df54bb8e59e5ef8c8736bffd8ec8d,table1:R2,,,
a1de5fc0704fe07a-table1-R3,2026-06-30,ulsan-namgu,감사관,백림,2026년 제2차 옴부즈만 정기회의 개최에 따른 오찬 제공,40000,a1de5fc0704fe07ac177dc39a310095e4f8df54bb8e59e5ef8c8736bffd8ec8d,table1:R3,,,
1fd1c8cd01820c24-table1-R2,2026-06-08,ulsan-namgu,일자리청년과,언양불고기,직원 격려 만찬 제공,261000,1fd1c8cd01820c24213843f7a925a734c8ce21c2c890170ed92681f13bcdad6b,table1:R2,,,
f5a6cbc884a93978-table1-R2,2026-04-10,ulsan-namgu,건축허가과,돈주촌족발,직원 노고격려 만찬 제공,312000,f5a6cbc884a93978ae6f240830fac5fa777fee93cf40f4501f05d8e1f89930b6,table1:R2,,,
f5a6cbc884a93978-table1-R3,2026-04-17,ulsan-namgu,건축허가과,"염서방식육점, 황가네 참숯생고기",직원 노고격려 만찬 제공,119000,f5a6cbc884a93978ae6f240830fac5fa777fee93cf40f4501f05d8e1f89930b6,table1:R3,,,
f5a6cbc884a93978-table1-R4,2026-04-24,ulsan-namgu,건축허가과,신홍어마을,직원 노고격려 만찬 제공,233000,f5a6cbc884a93978ae6f240830fac5fa777fee93cf40f4501f05d8e1f89930b6,table1:R4,,,
f5a6cbc884a93978-table1-R5,2026-05-15,ulsan-namgu,건축허가과,구첩식당,직원 노고격려 만찬 제공,544000,f5a6cbc884a93978ae6f240830fac5fa777fee93cf40f4501f05d8e1f89930b6,table1:R5,,,
f5a6cbc884a93978-table1-R6,2026-05-27,ulsan-namgu,건축허가과,고집센그집갈비탕 울산야음점,2026년 우수기 민간건설공사 시공ㆍ감리 실태 점검에 따른 점검관 오찬 제공,50000,f5a6cbc884a93978ae6f240830fac5fa777fee93cf40f4501f05d8e1f89930b6,table1:R6,,,
f5a6cbc884a93978-table1-R7,2026-05-28,ulsan-namgu,건축허가과,"롬브, 원조남산 민물추어탕",2026년 우수기 민간건설공사 시공ㆍ감리 실태 점검에 따른 점검관 오찬 제공,54600,f5a6cbc884a93978ae6f240830fac5fa777fee93cf40f4501f05d8e1f89930b6,table1:R7,,,
116b614e978728d0-table1-R2,2026-05-15,ulsan-namgu,일자리청년과,마루 외,직원 격려 오찬 제공 (5. 4.자 인사이동),94500,116b614e978728d0c72a8c9596b4ce1b8c0ff6563f51705ad50d93b2687df299,table1:R2,,,
116b614e978728d0-table1-R3,2026-05-21,ulsan-namgu,일자리청년과,경복궁,신중년 경력형 일자리사업 관련 간담회 참석자 오찬 제공,351000,116b614e978728d0c72a8c9596b4ce1b8c0ff6563f51705ad50d93b2687df299,table1:R3,,,
fa0c7b9d87860405-table1-R2,2026-04-02,ulsan-namgu,일자리청년과,더만족 울산삼산점,"청년정책협의체 임원진, 신규 위원 간담회 참석자 만찬 제공",200.000,fa0c7b9d87860405a7e5c4b8aa7c6c6493687218b00d750d0fc8344a8fde5ac8,table1:R2,,,
fa0c7b9d87860405-table1-R3,2026-04-08,ulsan-namgu,일자리청년과,동동국밥 외,직원 격려 오찬 제공 (여성내일이음센터 운영(AI프롬프트 교육)등 취업역량 강화 교육),35800,fa0c7b9d87860405a7e5c4b8aa7c6c6493687218b00d750d0fc8344a8fde5ac8,table1:R3,,,
fa0c7b9d87860405-table1-R4,2026-04-15,ulsan-namgu,일자리청년과,멘타이쇼 외,직원 격려 오찬제공 (청년창업점포 상반기 현장점검),67100,fa0c7b9d87860405a7e5c4b8aa7c6c6493687218b00d750d0fc8344a8fde5ac8,table1:R4,,,
fa0c7b9d87860405-table1-R5,2026-04-17,ulsan-namgu,일자리청년과,풀채움,직원 격려 오찬제공 (청년창업점포 상반기 현장점검),50500,fa0c7b9d87860405a7e5c4b8aa7c6c6493687218b00d750d0fc8344a8fde5ac8,table1:R5,,,
fa0c7b9d87860405-table1-R6,2026-04-17,ulsan-namgu,일자리청년과,염서방식육점 외,청년페스타 추진 관련 간담회 참석자 만찬 제공,109000,fa0c7b9d87860405a7e5c4b8aa7c6c6493687218b00d750d0fc8344a8fde5ac8,table1:R6,,,
